 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> January 10, 2023 
 ==================================================================

 Disk File Name = SR_OUTPUT.txt

 Ion = Praseodymium [59] , Mass = 147.9221 amu

 Density =  1.6422E-04 g/cm3 = 2.4707E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Praseodymium [59] , Mass = 147.9221 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.934E-02  3.087E+00   43.58 um     5.72 um     3.88 um  
   1.10 keV   1.042E-01  3.238E+00   45.39 um     5.95 um     4.03 um  
   1.20 keV   1.088E-01  3.380E+00   47.12 um     6.16 um     4.18 um  
   1.30 keV   1.133E-01  3.515E+00   48.78 um     6.36 um     4.32 um  
   1.40 keV   1.175E-01  3.643E+00   50.38 um     6.55 um     4.46 um  
   1.50 keV   1.217E-01  3.766E+00   51.92 um     6.73 um     4.59 um  
   1.60 keV   1.257E-01  3.883E+00   53.42 um     6.91 um     4.71 um  
   1.70 keV   1.295E-01  3.996E+00   54.87 um     7.08 um     4.83 um  
   1.80 keV   1.333E-01  4.104E+00   56.29 um     7.24 um     4.95 um  
   2.00 keV   1.405E-01  4.309E+00   59.01 um     7.56 um     5.18 um  
   2.25 keV   1.490E-01  4.546E+00   62.24 um     7.93 um     5.45 um  
   2.50 keV   1.571E-01  4.766E+00   65.32 um     8.28 um     5.71 um  
   2.75 keV   1.647E-01  4.971E+00   68.26 um     8.61 um     5.96 um  
   3.00 keV   1.721E-01  5.162E+00   71.09 um     8.92 um     6.20 um  
   3.25 keV   1.791E-01  5.342E+00   73.82 um     9.22 um     6.42 um  
   3.50 keV   1.858E-01  5.512E+00   76.46 um     9.50 um     6.64 um  
