Background

Energy(keV), Phot/Decay,    Nuclide, Decay_Mode
    609.312, 4.610e-01,     Bi-214, Beta- 
    238.632, 4.330e-01,     Pb-212, Beta- 
    351.932, 3.759e-01,     Pb-214, Beta- 
   2614.453, 3.563e-01,     Tl-208, Beta- 
    583.191, 3.035e-01,     Tl-208, Beta- 
    911.204, 2.580e-01,     Ac-228, Beta- 
    295.224, 1.930e-01,     Pb-214, Beta- 
     77.107, 1.750e-01,     Pb-212, Bi X-Ray
    968.971, 1.580e-01,     Ac-228, Beta- 
   1764.494, 1.540e-01,     Bi-214, Beta- 
   1120.287, 1.510e-01,     Bi-214, Beta- 
    338.320, 1.127e-01,     Ac-228, Beta- 
   1460.830, 1.067e-01,       K-40, NA
     74.815, 1.040e-01,     Pb-212, Bi X-Ray
    510.770, 8.124e-02,     Tl-208, Beta- 
     77.107, 7.998e-02,     Pb-214, Bi X-Ray
    241.997, 7.429e-02,     Pb-214, Beta- 
    727.330, 6.579e-02,     Bi-212, Beta- 
   1238.110, 5.790e-02,     Bi-214, Beta- 
   2204.210, 5.080e-02,     Bi-214, Beta- 
    964.766, 4.990e-02,     Ac-228, Beta- 
    768.356, 4.940e-02,     Bi-214, Beta- 
     63.290, 4.838e-02,     Th-234, Beta- 
     74.815, 4.799e-02,     Pb-214, Bi X-Ray
    860.564, 4.462e-02,     Tl-208, Beta- 
    463.004, 4.400e-02,     Ac-228, Beta- 
    794.947, 4.250e-02,     Ac-228, Beta- 
     46.539, 4.250e-02,     Pb-210, Beta-
    240.986, 4.100e-02,     Ra-224, Alpha 
     87.349, 4.010e-02,     Pb-212, Bi X-Ray
   1377.669, 4.000e-02,     Bi-214, Beta- 
    209.253, 3.890e-02,     Ac-228, Beta- 
    186.211, 3.590e-02,     Ra-226, Alpha 
    270.245, 3.460e-02,     Ac-228, Beta- 
    300.087, 3.278e-02,     Pb-212, Beta- 
   1588.190, 3.220e-02,     Ac-228, Beta- 
     93.350, 3.190e-02,     Ac-228, Th X-Ray
    934.061, 3.030e-02,     Bi-214, Beta- 
    328.000, 2.950e-02,     Ac-228, Beta- 
   1729.595, 2.920e-02,     Bi-214, Beta- 
     92.380, 2.812e-02,     Th-234, Beta- 
     92.800, 2.772e-02,     Th-234, Beta- 
    185.712, 2.688e-02,      U-235, Alpha 
    129.065, 2.420e-02,     Ac-228, Beta- 
    277.351, 2.266e-02,     Tl-208, Beta- 
   1407.980, 2.150e-02,     Bi-214, Beta- 
   1509.228, 2.110e-02,     Bi-214, Beta- 
   1847.420, 2.110e-02,     Bi-214, Beta- 
     86.830, 2.090e-02,     Pb-212, Bi X-Ray
     89.957, 1.960e-02,     Ac-228, Th X-Ray
    409.462, 1.920e-02,     Ac-228, Beta- 
     87.349, 1.800e-02,     Pb-214, Bi X-Ray
   1155.190, 1.630e-02,     Bi-214, Beta- 
    835.710, 1.610e-02,     Ac-228, Beta- 
   2447.860, 1.570e-02,     Bi-214, Beta- 
   1630.627, 1.510e-02,     Ac-228, Beta- 
    772.291, 1.490e-02,     Ac-228, Beta- 
   1620.500, 1.486e-02,     Bi-212, Beta- 
     89.784, 1.460e-02,     Pb-212, Bi X-Ray
    665.453, 1.460e-02,     Bi-214, Beta- 
   1280.960, 1.430e-02,     Bi-214, Beta- 
   1401.500, 1.270e-02,     Bi-214, Beta- 
     74.969, 1.261e-02,     Tl-208, Pb X-Ray
     99.509, 1.260e-02,     Ac-228, Beta- 
     84.373, 1.220e-02,     Th-228, Alpha 
    806.174, 1.220e-02,     Bi-214, Beta- 
     53.228, 1.200e-02,     Pb-214, Beta- 
     83.787, 1.184e-02,     Ra-223, Rn X-Ray
   1661.280, 1.150e-02,     Bi-214, Beta- 
   2118.550, 1.140e-02,     Bi-214, Beta- 
    785.370, 1.102e-02,     Bi-212, Beta- 
     39.858, 1.091e-02,     Bi-212, Alpha 
    785.960, 1.070e-02,     Pb-214, Beta- 
    755.315, 1.000e-02,     Ac-228, Beta- 
     86.830, 9.998e-03,     Pb-214, Bi X-Ray
     79.290, 9.800e-03,     Bi-214, Po X-Ray
    840.377, 9.100e-03,     Ac-228, Beta- 
    562.500, 8.700e-03,     Ac-228, Beta- 
   1495.930, 8.600e-03,     Ac-228, Beta- 
   1001.030, 8.370e-03,    Pa-234m, Beta- 
   1459.138, 8.300e-03,     Ac-228, Beta- 
     95.863, 8.000e-03,     Th-234, Pa X-Ray
    904.190, 7.700e-03,     Ac-228, Beta- 
   1385.310, 7.570e-03,     Bi-214, Beta- 
     72.805, 7.509e-03,     Tl-208, Pb X-Ray
    105.604, 7.400e-03,     Ac-228, Th X-Ray
    153.977, 7.220e-03,     Ac-228, Beta- 
     81.069, 7.144e-03,     Ra-223, Rn X-Ray
   1583.220, 6.900e-03,     Bi-214, Beta- 
     25.646, 6.815e-03,     Th-231, Beta- 
     89.784, 6.699e-03,     Pb-214, Bi X-Ray
    763.130, 6.521e-03,     Tl-208, Beta- 
    269.459, 6.439e-03,     Ra-223, Alpha 
    726.863, 6.200e-03,     Ac-228, Beta- 
    351.059, 6.068e-03,     Bi-211, Alpha 
   1580.530, 6.000e-03,     Ac-228, Beta- 
    115.183, 5.923e-03,     Pb-212, Beta- 
    839.040, 5.869e-03,     Pb-214, Beta- 
     76.863, 5.820e-03,     Bi-214, Po X-Ray
    235.971, 5.701e-03,     Th-227, Alpha 
   1078.620, 5.637e-03,     Bi-212, Beta- 
    830.486, 5.400e-03,     Ac-228, Beta- 
    258.870, 5.239e-03,     Pb-214, Beta- 
     93.350, 5.170e-03,      U-235, Th X-Ray
    143.764, 5.151e-03,      U-235, Alpha 
    271.230, 5.076e-03,     Rn-219, Alpha 
   1247.080, 5.000e-03,     Ac-228, Beta- 
     92.282, 5.000e-03,     Th-234, Pa X-Ray
    782.142, 4.850e-03,     Ac-228, Beta- 
     27.360, 4.832e-03,     Pa-231, Alpha 
    274.800, 4.739e-03,     Pb-214, Beta- 
    703.110, 4.720e-03,     Bi-214, Beta- 
     57.766, 4.700e-03,     Ac-228, Beta- 
   1638.281, 4.700e-03,     Ac-228, Beta- 
   1501.570, 4.600e-03,     Ac-228, Beta- 
   1207.680, 4.510e-03,     Bi-214, Beta- 
    508.959, 4.500e-03,     Ac-228, Beta- 
    487.090, 4.219e-03,     Pb-214, Beta- 
    332.370, 4.000e-03,     Ac-228, Beta- 
    104.819, 3.900e-03,     Ac-228, Th X-Ray
    719.860, 3.790e-03,     Bi-214, Beta- 
    893.408, 3.780e-03,     Bi-212, Beta- 
     67.670, 3.767e-03,     Th-230, Alpha 
   1538.500, 3.760e-03,     Bi-214, Beta- 
     90.074, 3.740e-03,     Pb-212, Bi X-Ray
     50.130, 3.706e-03,     Th-227, Alpha 
    388.880, 3.700e-03,     Bi-214, Beta- 
    340.980, 3.690e-03,     Ac-228, Beta- 
    964.080, 3.620e-03,     Bi-214, Beta- 
   1838.360, 3.600e-03,     Bi-214, Beta- 
    580.130, 3.519e-03,     Pb-214, Beta- 
    256.250, 3.250e-03,     Th-227, Alpha 
    480.430, 3.199e-03,     Pb-214, Beta- 
     83.787, 3.190e-03,     Ra-226, Rn X-Ray
    199.407, 3.150e-03,     Ac-228, Beta- 
   1051.960, 3.150e-03,     Bi-214, Beta- 
    452.830, 3.136e-03,     Bi-212, Alpha 
     84.216, 3.102e-03,     Th-231, Beta- 
    386.770, 3.100e-03,     Bi-214, Beta- 
    786.100, 3.100e-03,     Bi-214, Beta- 
    288.070, 3.065e-03,     Bi-212, Alpha 
   2293.400, 3.050e-03,     Bi-214, Beta- 
    454.770, 3.000e-03,     Bi-214, Beta- 
    401.810, 2.995e-03,     Rn-219, Alpha 
    766.380, 2.940e-03,    Pa-234m, Beta- 
     84.938, 2.885e-03,     Tl-208, Pb X-Ray
   1512.700, 2.883e-03,     Bi-212, Beta- 
   1110.610, 2.850e-03,     Ac-228, Beta- 
    108.583, 2.840e-03,     Ac-228, Th X-Ray
    958.610, 2.800e-03,     Ac-228, Beta- 
    112.810, 2.772e-03,     Th-234, Beta- 
   1069.960, 2.750e-03,     Bi-214, Beta- 
     94.868, 2.698e-03,     Ra-223, Rn X-Ray
    154.210, 2.640e-03,     Ra-223, Alpha 
     63.830, 2.630e-03,     Th-232, Alpha 
   1625.060, 2.550e-03,     Ac-228, Beta- 
    215.983, 2.535e-03,     Th-228, Alpha 
   1594.730, 2.500e-03,     Bi-214, Beta- 
    252.610, 2.494e-03,     Tl-208, Beta- 
   1133.660, 2.480e-03,     Bi-214, Beta- 
    163.358, 2.388e-03,      U-235, Alpha 
    205.309, 2.355e-03,      U-235, Alpha 
     98.434, 2.300e-03,    Pa-234m, U X-Ray
   1599.310, 2.300e-03,     Bi-214, Beta- 
    321.646, 2.260e-03,     Ac-228, Beta- 
