Be-9(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
   6809.610,   6.591e-01,  Be-9(n.g), (n.g)
   3367.448,   3.239e-01,  Be-9(n.g), (n.g)
    853.630,   2.364e-01,  Be-9(n.g), (n.g)
   2590.010,   2.170e-01,  Be-9(n.g), (n.g)
   3443.406,   1.114e-01,  Be-9(n.g), (n.g)
   5956.530,   1.659e-02,  Be-9(n.g), (n.g)
    631.920,   2.045e-03,  Be-9(n.g), (n.g)
   2896.020,   1.318e-03,  Be-9(n.g), (n.g)
    547.550,   1.239e-03,  Be-9(n.g), (n.g)
   2811.680,   1.193e-03,  Be-9(n.g), (n.g)
   5958.850,   7.727e-04,  Be-9(n.g), (n.g)
    219.400,   5.114e-04,  Be-9(n.g), (n.g)
    304.240,   2.614e-04,  Be-9(n.g), (n.g)
   5787.610,          NA,  Be-9(n.g), D.E.
   6298.610,          NA,  Be-9(n.g), S.E.
