Bi-209(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
   4171.050,   5.059e-01,Bi-209(n.g), (n.g)
   4054.570,   4.053e-01,Bi-209(n.g), (n.g)
    319.780,   3.402e-01,Bi-209(n.g), (n.g)
   4101.760,   2.633e-01,Bi-209(n.g), (n.g)
    162.190,   2.367e-01,Bi-209(n.g), (n.g)
    673.970,   7.692e-02,Bi-209(n.g), (n.g)
   4256.650,   7.101e-02,Bi-209(n.g), (n.g)
   2505.350,   6.213e-02,Bi-209(n.g), (n.g)
   2828.290,   5.296e-02,Bi-209(n.g), (n.g)
   4165.360,   5.118e-02,Bi-209(n.g), (n.g)
   3396.160,   5.030e-02,Bi-209(n.g), (n.g)
   3356.600,   4.941e-02,Bi-209(n.g), (n.g)
   2598.330,   4.911e-02,Bi-209(n.g), (n.g)
    162.270,   4.793e-02,Bi-209(n.g), (n.g)
   1337.090,   4.615e-02,Bi-209(n.g), (n.g)
   2624.340,   4.556e-02,Bi-209(n.g), (n.g)
   3081.270,   4.290e-02,Bi-209(n.g), (n.g)
    774.920,   4.172e-02,Bi-209(n.g), (n.g)
   3632.770,   4.024e-02,Bi-209(n.g), (n.g)
    154.890,   3.846e-02,Bi-209(n.g), (n.g)
    808.790,   3.521e-02,Bi-209(n.g), (n.g)
    900.220,   3.018e-02,Bi-209(n.g), (n.g)
   2898.170,   2.367e-02,Bi-209(n.g), (n.g)
    769.210,   2.308e-02,Bi-209(n.g), (n.g)
   1203.520,   2.278e-02,Bi-209(n.g), (n.g)
   1596.430,   2.160e-02,Bi-209(n.g), (n.g)
    971.830,   2.130e-02,Bi-209(n.g), (n.g)
   1708.840,   2.101e-02,Bi-209(n.g), (n.g)
   1012.530,   1.893e-02,Bi-209(n.g), (n.g)
   3214.640,   1.805e-02,Bi-209(n.g), (n.g)
    116.490,   1.598e-02,Bi-209(n.g), (n.g)
    774.910,   1.598e-02,Bi-209(n.g), (n.g)
   1824.970,   1.598e-02,Bi-209(n.g), (n.g)
    563.140,   1.509e-02,Bi-209(n.g), (n.g)
     91.290,   1.479e-02,Bi-209(n.g), (n.g)
   1175.480,   1.420e-02,Bi-209(n.g), (n.g)
    645.820,   1.391e-02,Bi-209(n.g), (n.g)
   1839.740,   1.361e-02,Bi-209(n.g), (n.g)
     46.580,   1.272e-02,Bi-209(n.g), (n.g)
    408.770,   1.272e-02,Bi-209(n.g), (n.g)
    808.770,   1.243e-02,Bi-209(n.g), (n.g)
   1226.300,   1.243e-02,Bi-209(n.g), (n.g)
   4284.800,   1.243e-02,Bi-209(n.g), (n.g)
   3141.750,   1.213e-02,Bi-209(n.g), (n.g)
   2026.660,   1.095e-02,Bi-209(n.g), (n.g)
    900.070,   1.036e-02,Bi-209(n.g), (n.g)
   1658.340,   1.036e-02,Bi-209(n.g), (n.g)
    912.770,   1.006e-02,Bi-209(n.g), (n.g)
   1484.300,   1.006e-02,Bi-209(n.g), (n.g)
   2496.690,   1.006e-02,Bi-209(n.g), (n.g)
   1397.830,   9.763e-03,Bi-209(n.g), (n.g)
   1211.110,   9.172e-03,Bi-209(n.g), (n.g)
   2570.290,   9.172e-03,Bi-209(n.g), (n.g)
   1430.290,   7.988e-03,Bi-209(n.g), (n.g)
   2614.550,   7.988e-03,Bi-209(n.g), (n.g)
    971.820,   7.692e-03,Bi-209(n.g), (n.g)
   1465.520,   7.692e-03,Bi-209(n.g), (n.g)
     92.480,   7.396e-03,Bi-209(n.g), (n.g)
    154.860,   7.396e-03,Bi-209(n.g), (n.g)
    644.360,   7.396e-03,Bi-209(n.g), (n.g)
