Bi-209(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
    896.280,   1.000e+02,Bi-209(n.n'g), (n.n'g)
   1608.530,   8.830e+01,Bi-209(n.n'g), (n.n'g)
    992.350,   1.590e+01,Bi-209(n.n'g), (n.n'g)
   2741.030,   1.062e+01,Bi-209(n.n'g), (n.n'g)
   1132.460,   8.900e+00,Bi-209(n.n'g), (n.n'g)
   1546.520,   7.070e+00,Bi-209(n.n'g), (n.n'g)
   2599.900,   6.800e+00,Bi-209(n.n'g), (n.n'g)
   2492.860,   5.460e+00,Bi-209(n.n'g), (n.n'g)
   2564.120,   5.450e+00,Bi-209(n.n'g), (n.n'g)
   1527.130,   5.200e+00,Bi-209(n.n'g), (n.n'g)
   1686.660,   4.500e+00,Bi-209(n.n'g), (n.n'g)
    413.040,   4.000e+00,Bi-209(n.n'g), (n.n'g)
   1560.490,   3.620e+00,Bi-209(n.n'g), (n.n'g)
   3132.960,   2.370e+00,Bi-209(n.n'g), (n.n'g)
   1721.080,   2.100e+00,Bi-209(n.n'g), (n.n'g)
   3152.800,   2.080e+00,Bi-209(n.n'g), (n.n'g)
   3089.960,   1.710e+00,Bi-209(n.n'g), (n.n'g)
   1784.800,   1.390e+00,Bi-209(n.n'g), (n.n'g)
   2583.070,   1.350e+00,Bi-209(n.n'g), (n.n'g)
   2826.000,   1.350e+00,Bi-209(n.n'g), (n.n'g)
   2142.780,   1.260e+00,Bi-209(n.n'g), (n.n'g)
   2617.350,   1.050e+00,Bi-209(n.n'g), (n.n'g)
   1797.640,   1.010e+00,Bi-209(n.n'g), (n.n'g)
   3464.090,   9.400e-01,Bi-209(n.n'g), (n.n'g)
    806.360,   8.000e-01,Bi-209(n.n'g), (n.n'g)
    921.900,   8.000e-01,Bi-209(n.n'g), (n.n'g)
   2498.700,   7.900e-01,Bi-209(n.n'g), (n.n'g)
   3378.110,   7.100e-01,Bi-209(n.n'g), (n.n'g)
   1929.900,   6.500e-01,Bi-209(n.n'g), (n.n'g)
   2414.840,   6.300e-01,Bi-209(n.n'g), (n.n'g)
   2705.420,   6.000e-01,Bi-209(n.n'g), (n.n'g)
   3692.100,   6.000e-01,Bi-209(n.n'g), (n.n'g)
   2593.600,   5.800e-01,Bi-209(n.n'g), (n.n'g)
   3703.400,   5.500e-01,Bi-209(n.n'g), (n.n'g)
    808.000,   5.000e-01,Bi-209(n.n'g), (n.n'g)
   2465.700,   5.000e-01,Bi-209(n.n'g), (n.n'g)
   3980.000,   4.500e-01,Bi-209(n.n'g), (n.n'g)
   2645.300,   4.000e-01,Bi-209(n.n'g), (n.n'g)
   2194.100,   3.300e-01,Bi-209(n.n'g), (n.n'g)
   2209.300,   3.200e-01,Bi-209(n.n'g), (n.n'g)
   4096.100,   3.200e-01,Bi-209(n.n'g), (n.n'g)
   2481.940,   3.100e-01,Bi-209(n.n'g), (n.n'g)
   2609.000,   3.100e-01,Bi-209(n.n'g), (n.n'g)
   2906.600,   3.100e-01,Bi-209(n.n'g), (n.n'g)
   1253.000,   3.000e-01,Bi-209(n.n'g), (n.n'g)
   3310.600,   3.000e-01,Bi-209(n.n'g), (n.n'g)
   2678.800,   2.900e-01,Bi-209(n.n'g), (n.n'g)
   2876.200,   2.900e-01,Bi-209(n.n'g), (n.n'g)
   3717.600,   2.700e-01,Bi-209(n.n'g), (n.n'g)
   4176.100,   2.500e-01,Bi-209(n.n'g), (n.n'g)
   4158.700,   2.400e-01,Bi-209(n.n'g), (n.n'g)
   4207.500,   2.300e-01,Bi-209(n.n'g), (n.n'g)
   3921.200,   2.200e-01,Bi-209(n.n'g), (n.n'g)
   4088.300,   2.200e-01,Bi-209(n.n'g), (n.n'g)
   2391.800,   2.100e-01,Bi-209(n.n'g), (n.n'g)
   2553.400,   2.100e-01,Bi-209(n.n'g), (n.n'g)
   3489.600,   2.100e-01,Bi-209(n.n'g), (n.n'g)
   2539.600,   2.000e-01,Bi-209(n.n'g), (n.n'g)
   2904.800,   2.000e-01,Bi-209(n.n'g), (n.n'g)
   3849.900,   1.900e-01,Bi-209(n.n'g), (n.n'g)
   3936.700,   1.900e-01,Bi-209(n.n'g), (n.n'g)
   2766.900,   1.800e-01,Bi-209(n.n'g), (n.n'g)
   2862.500,   1.800e-01,Bi-209(n.n'g), (n.n'g)
   3962.100,   1.800e-01,Bi-209(n.n'g), (n.n'g)
   2488.200,   1.700e-01,Bi-209(n.n'g), (n.n'g)
   2954.700,   1.700e-01,Bi-209(n.n'g), (n.n'g)
   2753.300,   1.500e-01,Bi-209(n.n'g), (n.n'g)
   3009.600,   1.500e-01,Bi-209(n.n'g), (n.n'g)
   3066.100,   1.500e-01,Bi-209(n.n'g), (n.n'g)
   3854.400,   1.500e-01,Bi-209(n.n'g), (n.n'g)
   4148.000,   1.500e-01,Bi-209(n.n'g), (n.n'g)
   4300.700,   1.500e-01,Bi-209(n.n'g), (n.n'g)
   3800.700,   1.400e-01,Bi-209(n.n'g), (n.n'g)
   3491.900,   1.300e-01,Bi-209(n.n'g), (n.n'g)
   2855.900,   1.200e-01,Bi-209(n.n'g), (n.n'g)
   3485.000,   1.200e-01,Bi-209(n.n'g), (n.n'g)
