Br-79(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
    245.203,   1.530e-01, Br-79(n.g), (n.g)
    271.374,   8.834e-02, Br-79(n.g), (n.g)
    314.982,   8.795e-02, Br-79(n.g), (n.g)
    244.237,   8.604e-02, Br-79(n.g), (n.g)
    195.602,   8.298e-02, Br-79(n.g), (n.g)
    219.377,   7.629e-02, Br-79(n.g), (n.g)
    468.980,   5.545e-02, Br-79(n.g), (n.g)
    366.604,   4.455e-02, Br-79(n.g), (n.g)
    234.320,   3.920e-02, Br-79(n.g), (n.g)
     59.471,   3.862e-02, Br-79(n.g), (n.g)
     37.054,   3.059e-02, Br-79(n.g), (n.g)
    274.532,   3.021e-02, Br-79(n.g), (n.g)
    223.627,   2.925e-02, Br-79(n.g), (n.g)
    343.405,   2.256e-02, Br-79(n.g), (n.g)
    294.349,   2.218e-02, Br-79(n.g), (n.g)
    542.515,   2.180e-02, Br-79(n.g), (n.g)
   7577.040,   2.065e-02, Br-79(n.g), (n.g)
    689.994,   1.587e-02, Br-79(n.g), (n.g)
    660.561,   1.568e-02, Br-79(n.g), (n.g)
    299.886,   1.530e-02, Br-79(n.g), (n.g)
    432.216,   1.497e-02, Br-79(n.g), (n.g)
    452.611,   1.298e-02, Br-79(n.g), (n.g)
    702.025,   1.239e-02, Br-79(n.g), (n.g)
    549.559,   1.134e-02, Br-79(n.g), (n.g)
   7078.180,   1.082e-02, Br-79(n.g), (n.g)
    765.957,   1.027e-02, Br-79(n.g), (n.g)
   1248.801,   1.008e-02, Br-79(n.g), (n.g)
    914.574,   9.713e-03, Br-79(n.g), (n.g)
   7422.770,   9.465e-03, Br-79(n.g), (n.g)
    389.189,   9.293e-03, Br-79(n.g), (n.g)
    459.775,   8.700e-03, Br-79(n.g), (n.g)
    211.594,   8.681e-03, Br-79(n.g), (n.g)
    860.488,   8.604e-03, Br-79(n.g), (n.g)
   7031.430,   8.547e-03, Br-79(n.g), (n.g)
    830.856,   7.897e-03, Br-79(n.g), (n.g)
    236.454,   7.113e-03, Br-79(n.g), (n.g)
    498.190,   6.424e-03, Br-79(n.g), (n.g)
    414.040,   6.348e-03, Br-79(n.g), (n.g)
     74.972,   6.176e-03, Br-79(n.g), (n.g)
    529.247,   6.138e-03, Br-79(n.g), (n.g)
   6689.130,   6.138e-03, Br-79(n.g), (n.g)
   6643.300,   6.080e-03, Br-79(n.g), (n.g)
    557.257,   6.023e-03, Br-79(n.g), (n.g)
    619.170,   5.889e-03, Br-79(n.g), (n.g)
    296.908,   5.870e-03, Br-79(n.g), (n.g)
   6668.160,   5.851e-03, Br-79(n.g), (n.g)
    315.524,   5.736e-03, Br-79(n.g), (n.g)
    492.884,   5.583e-03, Br-79(n.g), (n.g)
    751.014,   5.545e-03, Br-79(n.g), (n.g)
   6570.150,   5.449e-03, Br-79(n.g), (n.g)
    883.600,   5.315e-03, Br-79(n.g), (n.g)
    124.028,   5.124e-03, Br-79(n.g), (n.g)
    321.937,   5.010e-03, Br-79(n.g), (n.g)
    721.417,   4.971e-03, Br-79(n.g), (n.g)
    845.700,   4.914e-03, Br-79(n.g), (n.g)
    278.186,   4.551e-03, Br-79(n.g), (n.g)
    159.800,   4.436e-03, Br-79(n.g), (n.g)
    385.598,   4.436e-03, Br-79(n.g), (n.g)
    345.580,   4.398e-03, Br-79(n.g), (n.g)
    455.830,   4.398e-03, Br-79(n.g), (n.g)
   1143.370,   4.302e-03, Br-79(n.g), (n.g)
    630.710,   4.283e-03, Br-79(n.g), (n.g)
   1190.730,   4.130e-03, Br-79(n.g), (n.g)
    329.551,   4.073e-03, Br-79(n.g), (n.g)
   1147.960,   3.920e-03, Br-79(n.g), (n.g)
   6533.280,   3.748e-03, Br-79(n.g), (n.g)
    218.785,   3.633e-03, Br-79(n.g), (n.g)
    723.983,   3.633e-03, Br-79(n.g), (n.g)
    146.904,   3.518e-03, Br-79(n.g), (n.g)
    952.580,   3.480e-03, Br-79(n.g), (n.g)
    470.619,   3.442e-03, Br-79(n.g), (n.g)
    479.082,   3.442e-03, Br-79(n.g), (n.g)
    636.681,   3.442e-03, Br-79(n.g), (n.g)
