Br-79(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
    217.070, Most Likely,Br-79(n.n'g), (n.n'g)
    261.350, Most Likely,Br-79(n.n'g), (n.n'g)
    306.470, Most Likely,Br-79(n.n'g), multiplet?
    397.540, Most Likely,Br-79(n.n'g), (n.n'g)
    523.100, Most Likely,Br-79(n.n'g), (n.n'g)
    606.090, Most Likely,Br-79(n.n'g), (n.n'g)
    136.090,          NA,Br-79(n.n'g), (n.n'g)
    207.500,          NA,Br-79(n.n'g), (n.n'g)
    208.480,          NA,Br-79(n.n'g), (n.n'g)
    299.530,          NA,Br-79(n.n'g), (n.n'g)
    306.500,          NA,Br-79(n.n'g), multiplet?
    344.710,          NA,Br-79(n.n'g), (n.n'g)
    388.970,          NA,Br-79(n.n'g), (n.n'g)
    506.600,          NA,Br-79(n.n'g), (n.n'g)
    525.350,          NA,Br-79(n.n'g), (n.n'g)
    532.000,          NA,Br-79(n.n'g), (n.n'g)
    544.100,          NA,Br-79(n.n'g), (n.n'g)
    576.000,          NA,Br-79(n.n'g), (n.n'g)
    614.890,          NA,Br-79(n.n'g), (n.n'g)
    734.120,          NA,Br-79(n.n'g), (n.n'g)
    737.000,          NA,Br-79(n.n'g), (n.n'g)
    761.400,          NA,Br-79(n.n'g), (n.n'g)
    793.400,          NA,Br-79(n.n'g), (n.n'g)
    809.170,          NA,Br-79(n.n'g), (n.n'g)
    809.800,          NA,Br-79(n.n'g), (n.n'g)
    831.970,          NA,Br-79(n.n'g), (n.n'g)
    851.130,          NA,Br-79(n.n'g), (n.n'g)
    862.600,          NA,Br-79(n.n'g), (n.n'g)
    895.500,          NA,Br-79(n.n'g), (n.n'g)
    907.800,          NA,Br-79(n.n'g), (n.n'g)
    914.800,          NA,Br-79(n.n'g), (n.n'g)
    915.200,          NA,Br-79(n.n'g), (n.n'g)
    945.600,          NA,Br-79(n.n'g), (n.n'g)
    954.000,          NA,Br-79(n.n'g), (n.n'g)
    972.000,          NA,Br-79(n.n'g), (n.n'g)
    984.600,          NA,Br-79(n.n'g), (n.n'g)
   1025.730,          NA,Br-79(n.n'g), (n.n'g)
   1090.000,          NA,Br-79(n.n'g), (n.n'g)
   1112.800,          NA,Br-79(n.n'g), (n.n'g)
   1115.100,          NA,Br-79(n.n'g), (n.n'g)
   1123.800,          NA,Br-79(n.n'g), (n.n'g)
   1131.560,          NA,Br-79(n.n'g), (n.n'g)
   1175.900,          NA,Br-79(n.n'g), (n.n'g)
   1190.800,          NA,Br-79(n.n'g), (n.n'g)
   1214.800,          NA,Br-79(n.n'g), (n.n'g)
   1252.500,          NA,Br-79(n.n'g), (n.n'g)
   1294.300,          NA,Br-79(n.n'g), (n.n'g)
   1307.000,          NA,Br-79(n.n'g), (n.n'g)
   1332.210,          NA,Br-79(n.n'g), (n.n'g)
   1357.800,          NA,Br-79(n.n'g), (n.n'g)
   1432.300,          NA,Br-79(n.n'g), (n.n'g)
   1473.000,          NA,Br-79(n.n'g), (n.n'g)
   1474.000,          NA,Br-79(n.n'g), (n.n'g)
   1513.000,          NA,Br-79(n.n'g), (n.n'g)
   1575.200,          NA,Br-79(n.n'g), (n.n'g)
   1613.500,          NA,Br-79(n.n'g), (n.n'g)
   1691.700,          NA,Br-79(n.n'g), (n.n'g)
   1779.300,          NA,Br-79(n.n'g), (n.n'g)
