Ca-40(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
   3736.300, Most Likely,Ca-40(n.n'g), (n.n'g)
    754.700,          NA,Ca-40(n.n'g), (n.n'g)
    780.900,          NA,Ca-40(n.n'g), (n.n'g)
   1122.800,          NA,Ca-40(n.n'g), (n.n'g)
   1264.000,          NA,Ca-40(n.n'g), (n.n'g)
   1307.700,          NA,Ca-40(n.n'g), (n.n'g)
   1344.400,          NA,Ca-40(n.n'g), (n.n'g)
   1374.100,          NA,Ca-40(n.n'g), (n.n'g)
   1652.400,          NA,Ca-40(n.n'g), (n.n'g)
   1793.200,          NA,Ca-40(n.n'g), (n.n'g)
   1876.700,          NA,Ca-40(n.n'g), (n.n'g)
   1896.100,          NA,Ca-40(n.n'g), (n.n'g)
   2121.000,          NA,Ca-40(n.n'g), (n.n'g)
   2124.400,          NA,Ca-40(n.n'g), (n.n'g)
   2277.500,          NA,Ca-40(n.n'g), (n.n'g)
   2289.000,          NA,Ca-40(n.n'g), (n.n'g)
   2293.000,          NA,Ca-40(n.n'g), (n.n'g)
   2380.000,          NA,Ca-40(n.n'g), (n.n'g)
   2603.200,          NA,Ca-40(n.n'g), (n.n'g)
   2678.100,          NA,Ca-40(n.n'g), (n.n'g)
   2848.400,          NA,Ca-40(n.n'g), (n.n'g)
   3014.000,          NA,Ca-40(n.n'g), (n.n'g)
   3194.500,          NA,Ca-40(n.n'g), (n.n'g)
   3904.000,          NA,Ca-40(n.n'g), (n.n'g)
   5248.700,          NA,Ca-40(n.n'g), (n.n'g)
   5628.800,          NA,Ca-40(n.n'g), (n.n'g)
   5902.500,          NA,Ca-40(n.n'g), Dopp.Brd?
   6908.200,          NA,Ca-40(n.n'g), Dopp.Brd?
   6949.900,          NA,Ca-40(n.n'g), Dopp.Brd?
