Ca-44(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
    174.120,   9.130e-01, Ca-44(n.g), (n.g)
   5514.550,   5.652e-01, Ca-44(n.g), (n.g)
   1725.710,   4.891e-01, Ca-44(n.g), (n.g)
   1260.620,   2.141e-01, Ca-44(n.g), (n.g)
   1899.830,   1.630e-01, Ca-44(n.g), (n.g)
   5165.420,   1.359e-01, Ca-44(n.g), (n.g)
   3996.020,   1.201e-01, Ca-44(n.g), (n.g)
   5979.600,   1.141e-01, Ca-44(n.g), (n.g)
   1434.730,   1.103e-01, Ca-44(n.g), (n.g)
   2074.880,   8.859e-02, Ca-44(n.g), (n.g)
   3099.400,   7.065e-02, Ca-44(n.g), (n.g)
    465.110,   6.685e-02, Ca-44(n.g), (n.g)
    349.180,   5.978e-02, Ca-44(n.g), (n.g)
   1704.000,   5.924e-02, Ca-44(n.g), (n.g)
    814.290,   5.652e-02, Ca-44(n.g), (n.g)
   2402.300,   4.891e-02, Ca-44(n.g), (n.g)
   4572.410,   4.891e-02, Ca-44(n.g), (n.g)
   1169.510,   4.783e-02, Ca-44(n.g), (n.g)
   2799.000,   4.130e-02, Ca-44(n.g), (n.g)
   2667.920,   3.967e-02, Ca-44(n.g), (n.g)
   2415.400,   3.098e-02, Ca-44(n.g), (n.g)
   3244.330,   2.989e-02, Ca-44(n.g), (n.g)
   4172.800,   2.880e-02, Ca-44(n.g), (n.g)
   2715.730,   1.685e-02, Ca-44(n.g), (n.g)
   3577.500,   1.576e-02, Ca-44(n.g), (n.g)
   1710.200,   1.304e-02, Ca-44(n.g), (n.g)
   2606.700,   1.304e-02, Ca-44(n.g), (n.g)
   3067.600,   1.304e-02, Ca-44(n.g), (n.g)
    957.790,   1.196e-02, Ca-44(n.g), (n.g)
   1983.780,   1.196e-02, Ca-44(n.g), (n.g)
   3180.820,   1.196e-02, Ca-44(n.g), (n.g)
   3631.600,   1.196e-02, Ca-44(n.g), (n.g)
    576.450,   8.152e-03, Ca-44(n.g), (n.g)
   2842.040,   8.152e-03, Ca-44(n.g), (n.g)
   3608.700,   8.152e-03, Ca-44(n.g), (n.g)
   1026.000,   4.783e-03, Ca-44(n.g), (n.g)
    942.250,   3.587e-03, Ca-44(n.g), (n.g)
   2947.000,   3.587e-03, Ca-44(n.g), (n.g)
   3564.400,   3.587e-03, Ca-44(n.g), (n.g)
   2178.100,   2.391e-03, Ca-44(n.g), (n.g)
    492.690,   1.196e-03, Ca-44(n.g), (n.g)
