Cd-113(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
    558.320,   7.381e-01,Cd-113(n.g), (n.g)
    651.190,   1.421e-01,Cd-113(n.g), (n.g)
    805.850,   5.317e-02,Cd-113(n.g), (n.g)
   1364.300,   4.881e-02,Cd-113(n.g), (n.g)
   1209.650,   4.841e-02,Cd-113(n.g), (n.g)
    576.040,   4.246e-02,Cd-113(n.g), (n.g)
    725.190,   4.246e-02,Cd-113(n.g), (n.g)
   1399.540,   3.877e-02,Cd-113(n.g), (n.g)
   2455.930,   3.464e-02,Cd-113(n.g), (n.g)
   5824.310,   2.742e-02,Cd-113(n.g), (n.g)
   1489.530,   2.718e-02,Cd-113(n.g), (n.g)
   1660.360,   2.647e-02,Cd-113(n.g), (n.g)
   2659.960,   2.540e-02,Cd-113(n.g), (n.g)
   1283.450,   1.885e-02,Cd-113(n.g), (n.g)
   2550.300,   1.536e-02,Cd-113(n.g), (n.g)
    748.040,   1.468e-02,Cd-113(n.g), (n.g)
    648.790,   1.353e-02,Cd-113(n.g), (n.g)
    654.470,   1.353e-02,Cd-113(n.g), (n.g)
   1300.980,   1.234e-02,Cd-113(n.g), (n.g)
   1370.550,   1.198e-02,Cd-113(n.g), (n.g)
    707.390,   1.163e-02,Cd-113(n.g), (n.g)
   2999.690,   1.155e-02,Cd-113(n.g), (n.g)
   3109.080,   1.135e-02,Cd-113(n.g), (n.g)
   2799.980,   1.095e-02,Cd-113(n.g), (n.g)
   1826.190,   1.000e-02,Cd-113(n.g), (n.g)
   2102.390,   9.524e-03,Cd-113(n.g), (n.g)
   2398.270,   8.889e-03,Cd-113(n.g), (n.g)
   2767.670,   8.889e-03,Cd-113(n.g), (n.g)
     95.880,   8.413e-03,Cd-113(n.g), (n.g)
   5934.390,   7.659e-03,Cd-113(n.g), (n.g)
   3218.960,   7.540e-03,Cd-113(n.g), (n.g)
   5784.390,   7.341e-03,Cd-113(n.g), (n.g)
   7678.590,   6.746e-03,Cd-113(n.g), (n.g)
   1879.060,   6.548e-03,Cd-113(n.g), (n.g)
   2394.680,   6.548e-03,Cd-113(n.g), (n.g)
   2649.630,   6.429e-03,Cd-113(n.g), (n.g)
   6823.870,   6.349e-03,Cd-113(n.g), (n.g)
   2078.140,   6.151e-03,Cd-113(n.g), (n.g)
   2230.100,   6.151e-03,Cd-113(n.g), (n.g)
    722.920,   6.071e-03,Cd-113(n.g), (n.g)
   2811.100,   6.071e-03,Cd-113(n.g), (n.g)
   2253.180,   5.952e-03,Cd-113(n.g), (n.g)
   3052.090,   5.952e-03,Cd-113(n.g), (n.g)
   1646.240,   5.754e-03,Cd-113(n.g), (n.g)
   2208.990,   5.556e-03,Cd-113(n.g), (n.g)
   2699.550,   5.516e-03,Cd-113(n.g), (n.g)
     74.950,   4.881e-03,Cd-113(n.g), (n.g)
    477.560,   4.802e-03,Cd-113(n.g), (n.g)
   8484.600,   4.722e-03,Cd-113(n.g), (n.g)
    803.420,   4.643e-03,Cd-113(n.g), (n.g)
    994.630,   4.603e-03,Cd-113(n.g), (n.g)
   2191.080,   4.444e-03,Cd-113(n.g), (n.g)
    920.780,   4.405e-03,Cd-113(n.g), (n.g)
   1995.430,   4.246e-03,Cd-113(n.g), (n.g)
    522.440,   4.206e-03,Cd-113(n.g), (n.g)
   6605.400,   4.206e-03,Cd-113(n.g), (n.g)
   5943.900,   3.968e-03,Cd-113(n.g), (n.g)
    746.470,   3.770e-03,Cd-113(n.g), (n.g)
   2022.380,   3.770e-03,Cd-113(n.g), (n.g)
   7737.530,   3.492e-03,Cd-113(n.g), (n.g)
    742.540,   3.452e-03,Cd-113(n.g), (n.g)
   2598.630,   3.333e-03,Cd-113(n.g), (n.g)
    839.630,   3.214e-03,Cd-113(n.g), (n.g)
   1315.530,   3.214e-03,Cd-113(n.g), (n.g)
    536.260,   3.056e-03,Cd-113(n.g), (n.g)
   9042.900,   3.056e-03,Cd-113(n.g), (n.g)
   1161.230,   2.976e-03,Cd-113(n.g), (n.g)
   1261.040,   2.897e-03,Cd-113(n.g), (n.g)
   2047.580,   2.857e-03,Cd-113(n.g), (n.g)
   7833.500,   2.857e-03,Cd-113(n.g), (n.g)
   2141.600,   2.778e-03,Cd-113(n.g), (n.g)
   6587.200,   2.778e-03,Cd-113(n.g), (n.g)
   1219.530,   2.738e-03,Cd-113(n.g), (n.g)
    580.450,   2.500e-03,Cd-113(n.g), (n.g)
   2241.800,   2.460e-03,Cd-113(n.g), (n.g)
   1176.880,   2.421e-03,Cd-113(n.g), (n.g)
   1286.350,   2.222e-03,Cd-113(n.g), (n.g)
