Cl-37(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
   1980.940,   4.323e-01, Cl-37(n.g), (n.g)
    755.290,   2.738e-01, Cl-37(n.g), (n.g)
   2543.100,   2.113e-01, Cl-37(n.g), (n.g)
   1692.180,   1.998e-01, Cl-37(n.g), (n.g)
   4126.490,   1.652e-01, Cl-37(n.g), (n.g)
   1701.900,   1.633e-01, Cl-37(n.g), (n.g)
   4490.290,   1.431e-01, Cl-37(n.g), (n.g)
    308.380,   1.153e-01, Cl-37(n.g), (n.g)
    637.530,   1.085e-01, Cl-37(n.g), (n.g)
   4415.230,   9.510e-02, Cl-37(n.g), (n.g)
   1820.000,   8.069e-02, Cl-37(n.g), (n.g)
   3364.700,   8.069e-02, Cl-37(n.g), (n.g)
   5352.020,   7.205e-02, Cl-37(n.g), (n.g)
    861.840,   6.724e-02, Cl-37(n.g), (n.g)
   1745.380,   5.668e-02, Cl-37(n.g), (n.g)
   2214.370,   5.476e-02, Cl-37(n.g), (n.g)
   1225.670,   5.091e-02, Cl-37(n.g), (n.g)
    363.840,   4.707e-02, Cl-37(n.g), (n.g)
   4362.030,   4.419e-02, Cl-37(n.g), (n.g)
   1617.110,   4.323e-02, Cl-37(n.g), (n.g)
   6107.200,   3.074e-02, Cl-37(n.g), (n.g)
   2133.790,   2.786e-02, Cl-37(n.g), (n.g)
    553.460,   2.594e-02, Cl-37(n.g), (n.g)
   1434.070,   2.498e-02, Cl-37(n.g), (n.g)
    288.770,   2.305e-02, Cl-37(n.g), (n.g)
   2285.570,   2.209e-02, Cl-37(n.g), (n.g)
   3137.850,   2.209e-02, Cl-37(n.g), (n.g)
   1029.460,   2.075e-02, Cl-37(n.g), (n.g)
   3684.600,   2.017e-02, Cl-37(n.g), (n.g)
    958.080,   1.950e-02, Cl-37(n.g), (n.g)
   3973.650,   1.921e-02, Cl-37(n.g), (n.g)
   2422.850,   1.825e-02, Cl-37(n.g), (n.g)
   2424.800,   1.825e-02, Cl-37(n.g), (n.g)
   2096.400,   1.729e-02, Cl-37(n.g), (n.g)
    936.910,   1.633e-02, Cl-37(n.g), (n.g)
   2893.900,   1.604e-02, Cl-37(n.g), (n.g)
   1992.520,   1.537e-02, Cl-37(n.g), (n.g)
   3538.200,   1.441e-02, Cl-37(n.g), (n.g)
   2742.760,   1.422e-02, Cl-37(n.g), (n.g)
   3893.070,   1.345e-02, Cl-37(n.g), (n.g)
   2204.870,   1.153e-02, Cl-37(n.g), (n.g)
   2245.200,   1.153e-02, Cl-37(n.g), (n.g)
   2245.200,   1.153e-02, Cl-37(n.g), (n.g)
   2351.390,   1.057e-02, Cl-37(n.g), (n.g)
   1125.700,   1.037e-02, Cl-37(n.g), (n.g)
   1912.240,   9.606e-03, Cl-37(n.g), (n.g)
   2034.520,   9.606e-03, Cl-37(n.g), (n.g)
   3213.600,   9.606e-03, Cl-37(n.g), (n.g)
   4405.600,   9.606e-03, Cl-37(n.g), (n.g)
   1308.740,   9.414e-03, Cl-37(n.g), (n.g)
   4165.640,   9.414e-03, Cl-37(n.g), (n.g)
   3564.300,   8.646e-03, Cl-37(n.g), (n.g)
   3049.780,   7.685e-03, Cl-37(n.g), (n.g)
    945.900,   7.589e-03, Cl-37(n.g), (n.g)
   1273.020,   6.724e-03, Cl-37(n.g), (n.g)
   1941.790,   6.628e-03, Cl-37(n.g), (n.g)
   1987.510,   6.628e-03, Cl-37(n.g), (n.g)
    721.000,   4.803e-03, Cl-37(n.g), (n.g)
    723.100,   4.803e-03, Cl-37(n.g), (n.g)
   2030.220,   4.803e-03, Cl-37(n.g), (n.g)
   2276.060,   4.803e-03, Cl-37(n.g), (n.g)
   2091.760,   3.746e-03, Cl-37(n.g), (n.g)
   2092.090,   3.746e-03, Cl-37(n.g), (n.g)
   2201.000,   3.746e-03, Cl-37(n.g), (n.g)
   2542.100,   3.746e-03, Cl-37(n.g), (n.g)
   2569.200,   3.746e-03, Cl-37(n.g), (n.g)
   1971.430,   2.882e-03, Cl-37(n.g), (n.g)
   1819.000,   1.950e-03, Cl-37(n.g), (n.g)
