Co-59(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
    229.879,   1.931e-01, Co-59(n.g), (n.g)
    277.161,   1.821e-01, Co-59(n.g), (n.g)
    555.972,   1.549e-01, Co-59(n.g), (n.g)
    447.711,   9.172e-02, Co-59(n.g), (n.g)
   6706.010,   8.123e-02, Co-59(n.g), (n.g)
   6877.160,   8.123e-02, Co-59(n.g), (n.g)
   5975.980,   7.800e-02, Co-59(n.g), (n.g)
    785.628,   6.482e-02, Co-59(n.g), (n.g)
   6485.990,   6.240e-02, Co-59(n.g), (n.g)
    497.269,   5.810e-02, Co-59(n.g), (n.g)
   5660.930,   5.083e-02, Co-59(n.g), (n.g)
   1515.720,   4.680e-02, Co-59(n.g), (n.g)
   1830.800,   4.572e-02, Co-59(n.g), (n.g)
   7214.420,   3.712e-02, Co-59(n.g), (n.g)
    254.379,   3.470e-02, Co-59(n.g), (n.g)
    158.517,   3.228e-02, Co-59(n.g), (n.g)
   7491.540,   3.120e-02, Co-59(n.g), (n.g)
    391.218,   2.905e-02, Co-59(n.g), (n.g)
   6985.410,   2.824e-02, Co-59(n.g), (n.g)
    945.314,   2.636e-02, Co-59(n.g), (n.g)
   5181.770,   2.453e-02, Co-59(n.g), (n.g)
    717.310,   2.273e-02, Co-59(n.g), (n.g)
    484.257,   2.162e-02, Co-59(n.g), (n.g)
    435.677,   2.122e-02, Co-59(n.g), (n.g)
   5742.530,   2.060e-02, Co-59(n.g), (n.g)
   7055.920,   1.791e-02, Co-59(n.g), (n.g)
   5925.890,   1.729e-02, Co-59(n.g), (n.g)
   1215.960,   1.399e-02, Co-59(n.g), (n.g)
    461.061,   1.396e-02, Co-59(n.g), (n.g)
   1507.330,   1.245e-02, Co-59(n.g), (n.g)
   1852.700,   1.226e-02, Co-59(n.g), (n.g)
    726.640,   1.205e-02, Co-59(n.g), (n.g)
   5602.970,   1.167e-02, Co-59(n.g), (n.g)
   4906.170,   1.157e-02, Co-59(n.g), (n.g)
    901.280,   1.124e-02, Co-59(n.g), (n.g)
   3749.210,   1.116e-02, Co-59(n.g), (n.g)
    930.612,   1.097e-02, Co-59(n.g), (n.g)
   5270.150,   1.087e-02, Co-59(n.g), (n.g)
   5614.670,   1.073e-02, Co-59(n.g), (n.g)
   2032.830,   1.057e-02, Co-59(n.g), (n.g)
   5639.030,   1.019e-02, Co-59(n.g), (n.g)
   7203.220,   9.925e-03, Co-59(n.g), (n.g)
   4607.000,   8.365e-03, Co-59(n.g), (n.g)
   5150.080,   8.123e-03, Co-59(n.g), (n.g)
   1774.650,   8.069e-03, Co-59(n.g), (n.g)
   1238.566,   7.800e-03, Co-59(n.g), (n.g)
   4921.850,   7.665e-03, Co-59(n.g), (n.g)
   1103.730,   7.450e-03, Co-59(n.g), (n.g)
    680.150,   7.343e-03, Co-59(n.g), (n.g)
   3929.840,   7.316e-03, Co-59(n.g), (n.g)
   4026.260,   7.316e-03, Co-59(n.g), (n.g)
   1799.920,   7.235e-03, Co-59(n.g), (n.g)
   5003.240,   7.101e-03, Co-59(n.g), (n.g)
   2221.610,   7.020e-03, Co-59(n.g), (n.g)
   4208.010,   6.859e-03, Co-59(n.g), (n.g)
   6948.870,   6.697e-03, Co-59(n.g), (n.g)
   1216.440,   6.455e-03, Co-59(n.g), (n.g)
   3966.150,   6.428e-03, Co-59(n.g), (n.g)
   4884.300,   6.374e-03, Co-59(n.g), (n.g)
    337.296,   6.079e-03, Co-59(n.g), (n.g)
   6274.840,   5.971e-03, Co-59(n.g), (n.g)
   1023.640,   5.917e-03, Co-59(n.g), (n.g)
   4893.760,   5.836e-03, Co-59(n.g), (n.g)
   1690.720,   5.783e-03, Co-59(n.g), (n.g)
   1692.830,   5.756e-03, Co-59(n.g), (n.g)
   6110.810,   5.729e-03, Co-59(n.g), (n.g)
   1808.820,   5.675e-03, Co-59(n.g), (n.g)
   3380.220,   5.648e-03, Co-59(n.g), (n.g)
   4032.030,   5.594e-03, Co-59(n.g), (n.g)
   1274.320,   5.514e-03, Co-59(n.g), (n.g)
   5127.840,   5.514e-03, Co-59(n.g), (n.g)
   6283.910,   5.487e-03, Co-59(n.g), (n.g)
   1207.770,   5.433e-03, Co-59(n.g), (n.g)
   1472.040,   5.245e-03, Co-59(n.g), (n.g)
   1283.220,   5.218e-03, Co-59(n.g), (n.g)
    963.580,   5.137e-03, Co-59(n.g), (n.g)
    195.900,   5.110e-03, Co-59(n.g), (n.g)
   5370.210,   5.056e-03, Co-59(n.g), (n.g)
    854.060,   5.030e-03, Co-59(n.g), (n.g)
   6149.990,   5.003e-03, Co-59(n.g), (n.g)
    944.070,   4.841e-03, Co-59(n.g), (n.g)
   1818.580,   4.814e-03, Co-59(n.g), (n.g)
   5704.280,   4.761e-03, Co-59(n.g), (n.g)
   1277.460,   4.707e-03, Co-59(n.g), (n.g)
   6040.600,   4.465e-03, Co-59(n.g), (n.g)
   2607.470,   4.438e-03, Co-59(n.g), (n.g)
   5510.560,   4.384e-03, Co-59(n.g), (n.g)
   5358.440,   4.303e-03, Co-59(n.g), (n.g)
   1786.010,   4.223e-03, Co-59(n.g), (n.g)
    884.980,   4.196e-03, Co-59(n.g), (n.g)
   1334.740,   4.169e-03, Co-59(n.g), (n.g)
   2569.920,   4.142e-03, Co-59(n.g), (n.g)
   1808.980,   4.034e-03, Co-59(n.g), (n.g)
    781.790,   3.927e-03, Co-59(n.g), (n.g)
   2527.120,   3.927e-03, Co-59(n.g), (n.g)
    928.480,   3.900e-03, Co-59(n.g), (n.g)
   4706.110,   3.685e-03, Co-59(n.g), (n.g)
    602.710,   3.550e-03, Co-59(n.g), (n.g)
   3840.830,   3.470e-03, Co-59(n.g), (n.g)
   4155.640,   3.443e-03, Co-59(n.g), (n.g)
   4395.620,   3.443e-03, Co-59(n.g), (n.g)
   1005.668,   3.416e-03, Co-59(n.g), (n.g)
    349.954,   3.335e-03, Co-59(n.g), (n.g)
   2281.570,   3.308e-03, Co-59(n.g), (n.g)
   2319.460,   3.281e-03, Co-59(n.g), (n.g)
    947.410,   3.254e-03, Co-59(n.g), (n.g)
    798.970,   3.228e-03, Co-59(n.g), (n.g)
   1553.650,   3.228e-03, Co-59(n.g), (n.g)
   4377.290,   3.201e-03, Co-59(n.g), (n.g)
   2926.190,   3.120e-03, Co-59(n.g), (n.g)
   4547.050,   3.093e-03, Co-59(n.g), (n.g)
   2680.640,   2.959e-03, Co-59(n.g), (n.g)
   5852.040,   2.959e-03, Co-59(n.g), (n.g)
   3677.050,   2.932e-03, Co-59(n.g), (n.g)
   5068.690,   2.932e-03, Co-59(n.g), (n.g)
    224.120,   2.851e-03, Co-59(n.g), (n.g)
   1117.760,   2.851e-03, Co-59(n.g), (n.g)
   3216.430,   2.824e-03, Co-59(n.g), (n.g)
   4329.000,   2.824e-03, Co-59(n.g), (n.g)
   3335.290,   2.797e-03, Co-59(n.g), (n.g)
   4624.290,   2.797e-03, Co-59(n.g), (n.g)
   2740.060,   2.770e-03, Co-59(n.g), (n.g)
   2074.830,   2.743e-03, Co-59(n.g), (n.g)
   3283.780,   2.717e-03, Co-59(n.g), (n.g)
    908.370,   2.690e-03, Co-59(n.g), (n.g)
   1226.780,   2.690e-03, Co-59(n.g), (n.g)
   2727.190,   2.690e-03, Co-59(n.g), (n.g)
   1075.660,   2.663e-03, Co-59(n.g), (n.g)
   1556.080,   2.663e-03, Co-59(n.g), (n.g)
   2995.430,   2.609e-03, Co-59(n.g), (n.g)
   3994.920,   2.555e-03, Co-59(n.g), (n.g)
   1933.820,   2.528e-03, Co-59(n.g), (n.g)
   1362.530,   2.474e-03, Co-59(n.g), (n.g)
   1844.960,   2.474e-03, Co-59(n.g), (n.g)
   3897.020,   2.474e-03, Co-59(n.g), (n.g)
   4350.400,   2.448e-03, Co-59(n.g), (n.g)
   1888.770,   2.394e-03, Co-59(n.g), (n.g)
   2099.190,   2.394e-03, Co-59(n.g), (n.g)
