Co-59(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
    142.651, Most Likely,Co-59(n.n'g), (n.n'g)
   1099.245, Most Likely,Co-59(n.n'g), (n.n'g)
   1189.600, Most Likely,Co-59(n.n'g), (n.n'g)
   1291.590, Most Likely,Co-59(n.n'g), (n.n'g)
   1459.610, Most Likely,Co-59(n.n'g), (n.n'g)
   1481.700, Most Likely,Co-59(n.n'g), (n.n'g)
   1744.700, Most Likely,Co-59(n.n'g), (n.n'g)
    192.349,          NA,Co-59(n.n'g), (n.n'g)
    263.000,          NA,Co-59(n.n'g), (n.n'g)
    269.010,          NA,Co-59(n.n'g), (n.n'g)
    334.800,          NA,Co-59(n.n'g), (n.n'g)
    372.100,          NA,Co-59(n.n'g), (n.n'g)
    382.480,          NA,Co-59(n.n'g), (n.n'g)
    395.300,          NA,Co-59(n.n'g), (n.n'g)
    522.300,          NA,Co-59(n.n'g), (n.n'g)
    541.700,          NA,Co-59(n.n'g), (n.n'g)
    554.200,          NA,Co-59(n.n'g), (n.n'g)
    580.000,          NA,Co-59(n.n'g), (n.n'g)
    650.100,          NA,Co-59(n.n'g), (n.n'g)
    694.020,          NA,Co-59(n.n'g), Dopp.Brd?
    723.100,          NA,Co-59(n.n'g), (n.n'g)
    753.100,          NA,Co-59(n.n'g), (n.n'g)
    782.400,          NA,Co-59(n.n'g), (n.n'g)
    795.600,          NA,Co-59(n.n'g), Dopp.Brd?
    795.700,          NA,Co-59(n.n'g), (n.n'g)
    824.700,          NA,Co-59(n.n'g), (n.n'g)
    852.200,          NA,Co-59(n.n'g), (n.n'g)
    871.300,          NA,Co-59(n.n'g), (n.n'g)
    891.900,          NA,Co-59(n.n'g), (n.n'g)
    913.200,          NA,Co-59(n.n'g), (n.n'g)
    935.300,          NA,Co-59(n.n'g), (n.n'g)
    953.100,          NA,Co-59(n.n'g), (n.n'g)
    992.880,          NA,Co-59(n.n'g), (n.n'g)
   1003.200,          NA,Co-59(n.n'g), (n.n'g)
   1040.200,          NA,Co-59(n.n'g), (n.n'g)
   1053.300,          NA,Co-59(n.n'g), (n.n'g)
   1169.800,          NA,Co-59(n.n'g), (n.n'g)
   1350.000,          NA,Co-59(n.n'g), (n.n'g)
   1395.400,          NA,Co-59(n.n'g), (n.n'g)
   1555.400,          NA,Co-59(n.n'g), (n.n'g)
   1613.800,          NA,Co-59(n.n'g), (n.n'g)
   1634.000,          NA,Co-59(n.n'g), (n.n'g)
   1637.300,          NA,Co-59(n.n'g), (n.n'g)
   1682.400,          NA,Co-59(n.n'g), (n.n'g)
   1723.300,          NA,Co-59(n.n'g), (n.n'g)
   1726.900,          NA,Co-59(n.n'g), (n.n'g)
   1798.800,          NA,Co-59(n.n'g), (n.n'g)
   1841.700,          NA,Co-59(n.n'g), (n.n'g)
   1858.600,          NA,Co-59(n.n'g), (n.n'g)
   1866.600,          NA,Co-59(n.n'g), (n.n'g)
   1889.100,          NA,Co-59(n.n'g), (n.n'g)
   1890.800,          NA,Co-59(n.n'g), (n.n'g)
   1902.200,          NA,Co-59(n.n'g), (n.n'g)
   1922.500,          NA,Co-59(n.n'g), (n.n'g)
   1932.800,          NA,Co-59(n.n'g), (n.n'g)
   1950.000,          NA,Co-59(n.n'g), (n.n'g)
   1966.600,          NA,Co-59(n.n'g), (n.n'g)
   1991.100,          NA,Co-59(n.n'g), (n.n'g)
   2003.400,          NA,Co-59(n.n'g), (n.n'g)
   2031.800,          NA,Co-59(n.n'g), (n.n'g)
   2061.800,          NA,Co-59(n.n'g), (n.n'g)
   2087.200,          NA,Co-59(n.n'g), Dopp.Brd?
   2144.300,          NA,Co-59(n.n'g), (n.n'g)
   2183.500,          NA,Co-59(n.n'g), (n.n'g)
   2204.800,          NA,Co-59(n.n'g), (n.n'g)
   2306.400,          NA,Co-59(n.n'g), (n.n'g)
   2315.200,          NA,Co-59(n.n'g), (n.n'g)
   2394.800,          NA,Co-59(n.n'g), (n.n'g)
   2478.700,          NA,Co-59(n.n'g), (n.n'g)
   2540.400,          NA,Co-59(n.n'g), (n.n'g)
   2567.900,          NA,Co-59(n.n'g), (n.n'g)
   2585.800,          NA,Co-59(n.n'g), (n.n'g)
   2652.600,          NA,Co-59(n.n'g), (n.n'g)
   2781.700,          NA,Co-59(n.n'g), (n.n'g)
   2816.700,          NA,Co-59(n.n'g), (n.n'g)
   2826.200,          NA,Co-59(n.n'g), (n.n'g)
   2912.000,          NA,Co-59(n.n'g), (n.n'g)
   2965.900,          NA,Co-59(n.n'g), (n.n'g)
   3014.900,          NA,Co-59(n.n'g), (n.n'g)
   3120.900,          NA,Co-59(n.n'g), (n.n'g)
   3140.500,          NA,Co-59(n.n'g), (n.n'g)
   3160.400,          NA,Co-59(n.n'g), (n.n'g)
   3193.800,          NA,Co-59(n.n'g), (n.n'g)
   3219.500,          NA,Co-59(n.n'g), (n.n'g)
   3276.000,          NA,Co-59(n.n'g), (n.n'g)
   3323.400,          NA,Co-59(n.n'g), (n.n'g)
   3382.000,          NA,Co-59(n.n'g), (n.n'g)
   3414.500,          NA,Co-59(n.n'g), (n.n'g)
   3426.100,          NA,Co-59(n.n'g), (n.n'g)
   3497.400,          NA,Co-59(n.n'g), (n.n'g)
   3667.400,          NA,Co-59(n.n'g), (n.n'g)
