Cr-52(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
   7938.460,   6.625e-01, Cr-52(n.g), (n.g)
   2320.800,   2.125e-01, Cr-52(n.g), (n.g)
   5617.900,   2.063e-01, Cr-52(n.g), (n.g)
    564.050,   1.766e-01, Cr-52(n.g), (n.g)
   7374.490,   1.250e-01, Cr-52(n.g), (n.g)
   5268.900,   7.813e-02, Cr-52(n.g), (n.g)
   4322.100,   4.203e-02, Cr-52(n.g), (n.g)
   2669.800,   4.109e-02, Cr-52(n.g), (n.g)
   3616.700,   4.063e-02, Cr-52(n.g), (n.g)
   2105.800,   3.281e-02, Cr-52(n.g), (n.g)
   1006.330,   5.938e-03, Cr-52(n.g), (n.g)
   2143.940,   5.781e-03, Cr-52(n.g), (n.g)
   5230.700,   5.469e-03, Cr-52(n.g), (n.g)
    734.400,   1.719e-03, Cr-52(n.g), (n.g)
   2708.000,   1.406e-03, Cr-52(n.g), (n.g)
    442.700,   3.125e-05, Cr-52(n.g), (n.g)
