Cr-52(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
   1434.068, Most Likely,Cr-52(n.n'g), (n.n'g)
    647.470,          NA,Cr-52(n.n'g), (n.n'g)
    704.600,          NA,Cr-52(n.n'g), (n.n'g)
    744.233,          NA,Cr-52(n.n'g), (n.n'g)
    935.538,          NA,Cr-52(n.n'g), (n.n'g)
   1212.800,          NA,Cr-52(n.n'g), (n.n'g)
   1333.649,          NA,Cr-52(n.n'g), (n.n'g)
   1530.670,          NA,Cr-52(n.n'g), (n.n'g)
   1727.530,          NA,Cr-52(n.n'g), (n.n'g)
   2038.000,          NA,Cr-52(n.n'g), (n.n'g)
   2337.440,          NA,Cr-52(n.n'g), Dopp.Brd?
   3161.800,          NA,Cr-52(n.n'g), (n.n'g)
