Cu-63(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
    278.250,   2.857e-01, Cu-63(n.g), (n.g)
   7915.620,   2.780e-01, Cu-63(n.g), (n.g)
    159.281,   2.073e-01, Cu-63(n.g), (n.g)
   7637.400,   1.727e-01, Cu-63(n.g), (n.g)
   7306.930,   1.027e-01, Cu-63(n.g), (n.g)
    608.766,   8.637e-02, Cu-63(n.g), (n.g)
    343.898,   6.878e-02, Cu-63(n.g), (n.g)
    202.950,   6.174e-02, Cu-63(n.g), (n.g)
   7253.010,   4.798e-02, Cu-63(n.g), (n.g)
   6988.680,   4.031e-02, Cu-63(n.g), (n.g)
    648.800,   3.263e-02, Cu-63(n.g), (n.g)
   7176.680,   2.959e-02, Cu-63(n.g), (n.g)
    579.750,   2.873e-02, Cu-63(n.g), (n.g)
    662.690,   2.303e-02, Cu-63(n.g), (n.g)
   6674.760,   2.300e-02, Cu-63(n.g), (n.g)
    384.450,   2.239e-02, Cu-63(n.g), (n.g)
    467.950,   2.137e-02, Cu-63(n.g), (n.g)
   5418.450,   2.137e-02, Cu-63(n.g), (n.g)
   7571.770,   2.012e-02, Cu-63(n.g), (n.g)
    503.410,   1.907e-02, Cu-63(n.g), (n.g)
   6010.800,   1.836e-02, Cu-63(n.g), (n.g)
   7756.360,   1.827e-02, Cu-63(n.g), (n.g)
   6673.150,   1.695e-02, Cu-63(n.g), (n.g)
   6394.760,   1.609e-02, Cu-63(n.g), (n.g)
   4319.920,   1.504e-02, Cu-63(n.g), (n.g)
    878.170,   1.347e-02, Cu-63(n.g), (n.g)
   6617.660,   1.302e-02, Cu-63(n.g), (n.g)
    449.486,   1.222e-02, Cu-63(n.g), (n.g)
   5258.730,   1.190e-02, Cu-63(n.g), (n.g)
    212.389,   1.158e-02, Cu-63(n.g), (n.g)
   1241.520,   1.104e-02, Cu-63(n.g), (n.g)
   1138.820,   9.469e-03, Cu-63(n.g), (n.g)
    264.869,   9.245e-03, Cu-63(n.g), (n.g)
   4658.550,   8.893e-03, Cu-63(n.g), (n.g)
    617.470,   8.637e-03, Cu-63(n.g), (n.g)
   1158.833,   8.541e-03, Cu-63(n.g), (n.g)
   1320.250,   8.413e-03, Cu-63(n.g), (n.g)
    767.770,   8.125e-03, Cu-63(n.g), (n.g)
   2497.850,   8.061e-03, Cu-63(n.g), (n.g)
    376.800,   7.997e-03, Cu-63(n.g), (n.g)
    494.810,   7.742e-03, Cu-63(n.g), (n.g)
   5189.810,   7.710e-03, Cu-63(n.g), (n.g)
   6595.520,   7.262e-03, Cu-63(n.g), (n.g)
   6063.240,   6.974e-03, Cu-63(n.g), (n.g)
    534.280,   6.718e-03, Cu-63(n.g), (n.g)
   4603.010,   6.270e-03, Cu-63(n.g), (n.g)
