Cu-65(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
   1115.546,   1.000e+00,Cu-65(n.n'g), (n.n'g)
    770.600,   4.500e-01,Cu-65(n.n'g), (n.n'g)
   1481.840,   3.000e-01,Cu-65(n.n'g), (n.n'g)
   1623.420,   1.050e-01,Cu-65(n.n'g), (n.n'g)
    366.270,   9.900e-02,Cu-65(n.n'g), (n.n'g)
   1724.920,   9.500e-02,Cu-65(n.n'g), (n.n'g)
    944.000,   8.400e-02,Cu-65(n.n'g), (n.n'g)
    978.800,   7.000e-02,Cu-65(n.n'g), (n.n'g)
    609.500,   6.200e-02,Cu-65(n.n'g), (n.n'g)
   1162.600,   5.700e-02,Cu-65(n.n'g), (n.n'g)
    507.900,   4.500e-02,Cu-65(n.n'g), (n.n'g)
   2094.300,   3.900e-02,Cu-65(n.n'g), (n.n'g)
    852.700,   3.200e-02,Cu-65(n.n'g), (n.n'g)
    991.900,   3.000e-02,Cu-65(n.n'g), (n.n'g)
    625.600,   2.700e-02,Cu-65(n.n'g), (n.n'g)
   1052.000,   2.600e-02,Cu-65(n.n'g), (n.n'g)
   3326.000,   2.400e-02,Cu-65(n.n'g), (n.n'g)
   1163.700,   2.300e-02,Cu-65(n.n'g), (n.n'g)
    499.700,   2.200e-02,Cu-65(n.n'g), (n.n'g)
    924.500,   2.000e-02,Cu-65(n.n'g), (n.n'g)
    612.700,   1.800e-02,Cu-65(n.n'g), (n.n'g)
    794.600,   1.800e-02,Cu-65(n.n'g), (n.n'g)
   1357.500,   1.610e-02,Cu-65(n.n'g), (n.n'g)
   1515.100,   1.530e-02,Cu-65(n.n'g), (n.n'g)
   1442.200,   1.400e-02,Cu-65(n.n'g), (n.n'g)
   2329.000,   1.400e-02,Cu-65(n.n'g), (n.n'g)
   1558.400,   1.300e-02,Cu-65(n.n'g), (n.n'g)
   1213.500,   1.200e-02,Cu-65(n.n'g), (n.n'g)
   1271.100,   1.200e-02,Cu-65(n.n'g), (n.n'g)
   1290.000,   1.200e-02,Cu-65(n.n'g), (n.n'g)
   2902.400,   1.200e-02,Cu-65(n.n'g), (n.n'g)
    954.500,   1.100e-02,Cu-65(n.n'g), (n.n'g)
   1879.000,   1.100e-02,Cu-65(n.n'g), (n.n'g)
   2866.800,   1.100e-02,Cu-65(n.n'g), (n.n'g)
   3260.800,   1.100e-02,Cu-65(n.n'g), (n.n'g)
    312.400,   1.000e-02,Cu-65(n.n'g), (n.n'g)
   1261.000,   1.000e-02,Cu-65(n.n'g), (n.n'g)
   2753.000,   1.000e-02,Cu-65(n.n'g), (n.n'g)
    255.000,   9.000e-03,Cu-65(n.n'g), (n.n'g)
    879.900,   9.000e-03,Cu-65(n.n'g), (n.n'g)
   2212.800,   9.000e-03,Cu-65(n.n'g), (n.n'g)
   2309.000,   9.000e-03,Cu-65(n.n'g), (n.n'g)
   2874.400,   9.000e-03,Cu-65(n.n'g), (n.n'g)
    471.000,   8.000e-03,Cu-65(n.n'g), (n.n'g)
    902.000,   8.000e-03,Cu-65(n.n'g), (n.n'g)
    924.600,   8.000e-03,Cu-65(n.n'g), (n.n'g)
   2862.000,   8.000e-03,Cu-65(n.n'g), (n.n'g)
   2894.400,   8.000e-03,Cu-65(n.n'g), (n.n'g)
   1336.800,   7.000e-03,Cu-65(n.n'g), (n.n'g)
   1762.400,   7.000e-03,Cu-65(n.n'g), (n.n'g)
   2107.400,   7.000e-03,Cu-65(n.n'g), (n.n'g)
   2533.000,   7.000e-03,Cu-65(n.n'g), (n.n'g)
   3032.400,   6.700e-03,Cu-65(n.n'g), (n.n'g)
   1243.500,   6.000e-03,Cu-65(n.n'g), (n.n'g)
    382.400,   5.000e-03,Cu-65(n.n'g), (n.n'g)
    785.600,   5.000e-03,Cu-65(n.n'g), (n.n'g)
   1872.000,   5.000e-03,Cu-65(n.n'g), (n.n'g)
   2593.700,   5.000e-03,Cu-65(n.n'g), (n.n'g)
   3113.000,   5.000e-03,Cu-65(n.n'g), (n.n'g)
   2044.700,   3.500e-03,Cu-65(n.n'g), (n.n'g)
   2649.600,   3.500e-03,Cu-65(n.n'g), (n.n'g)
   1493.200,   3.000e-03,Cu-65(n.n'g), (n.n'g)
   1964.100,   3.000e-03,Cu-65(n.n'g), (n.n'g)
   2125.200,   3.000e-03,Cu-65(n.n'g), (n.n'g)
   1026.300,   2.400e-03,Cu-65(n.n'g), (n.n'g)
    487.800,   2.000e-03,Cu-65(n.n'g), (n.n'g)
   1822.700,   2.000e-03,Cu-65(n.n'g), (n.n'g)
   2122.200,   1.500e-03,Cu-65(n.n'g), (n.n'g)
   2657.400,   1.500e-03,Cu-65(n.n'g), (n.n'g)
   1534.100,   1.000e-03,Cu-65(n.n'g), (n.n'g)
   2145.200,   1.000e-03,Cu-65(n.n'g), (n.n'g)
    439.700,          NA,Cu-65(n.n'g), (n.n'g)
    550.000,          NA,Cu-65(n.n'g), (n.n'g)
