Fe-54(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
   9297.680,   5.659e-01, Fe-54(n.g), (n.g)
   5507.290,   1.871e-01, Fe-54(n.g), (n.g)
    411.570,   1.667e-01, Fe-54(n.g), (n.g)
   8886.180,   1.227e-01, Fe-54(n.g), (n.g)
   2469.240,   8.788e-02, Fe-54(n.g), (n.g)
   3790.800,   5.682e-02, Fe-54(n.g), (n.g)
   6828.770,   4.091e-02, Fe-54(n.g), (n.g)
   5745.500,   3.712e-02, Fe-54(n.g), (n.g)
   6269.450,   3.333e-02, Fe-54(n.g), (n.g)
   7246.600,   3.106e-02, Fe-54(n.g), (n.g)
   1639.830,   2.727e-02, Fe-54(n.g), (n.g)
   1918.300,   2.576e-02, Fe-54(n.g), (n.g)
   3028.600,   2.576e-02, Fe-54(n.g), (n.g)
   4802.700,   2.576e-02, Fe-54(n.g), (n.g)
    931.280,   2.273e-02, Fe-54(n.g), (n.g)
   4589.500,   2.045e-02, Fe-54(n.g), (n.g)
   2051.390,   1.758e-02, Fe-54(n.g), (n.g)
   2057.690,   1.758e-02, Fe-54(n.g), (n.g)
   4455.100,   1.439e-02, Fe-54(n.g), (n.g)
   4708.500,   1.364e-02, Fe-54(n.g), (n.g)
   3379.300,   1.288e-02, Fe-54(n.g), (n.g)
   3552.600,   1.212e-02, Fe-54(n.g), (n.g)
   2617.000,   1.136e-02, Fe-54(n.g), (n.g)
   5391.200,   1.061e-02, Fe-54(n.g), (n.g)
   1506.740,   1.008e-02, Fe-54(n.g), (n.g)
   4495.400,   9.091e-03, Fe-54(n.g), (n.g)
   1872.600,   8.333e-03, Fe-54(n.g), (n.g)
   4708.600,   7.576e-03, Fe-54(n.g), (n.g)
   3906.900,   6.818e-03, Fe-54(n.g), (n.g)
   4178.100,   6.818e-03, Fe-54(n.g), (n.g)
   2790.400,   6.061e-03, Fe-54(n.g), (n.g)
