Fe-54(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
    756.600, Most Likely,Fe-54(n.n'g), (n.n'g)
   1129.900, Most Likely,Fe-54(n.n'g), (n.n'g)
   1153.100, Most Likely,Fe-54(n.n'g), (n.n'g)
   1408.100, Most Likely,Fe-54(n.n'g), (n.n'g)
   1936.500, Most Likely,Fe-54(n.n'g), (n.n'g)
   2959.400, Most Likely,Fe-54(n.n'g), (n.n'g)
   3166.000, Most Likely,Fe-54(n.n'g), (n.n'g)
    411.400,          NA,Fe-54(n.n'g), (n.n'g)
    703.000,          NA,Fe-54(n.n'g), (n.n'g)
    736.400,          NA,Fe-54(n.n'g), (n.n'g)
    806.500,          NA,Fe-54(n.n'g), (n.n'g)
   1294.900,          NA,Fe-54(n.n'g), (n.n'g)
   1487.200,          NA,Fe-54(n.n'g), (n.n'g)
   1509.400,          NA,Fe-54(n.n'g), multiplet?
   1550.700,          NA,Fe-54(n.n'g), (n.n'g)
   1729.600,          NA,Fe-54(n.n'g), (n.n'g)
   1757.600,          NA,Fe-54(n.n'g), (n.n'g)
   2244.100,          NA,Fe-54(n.n'g), (n.n'g)
   2425.200,          NA,Fe-54(n.n'g), (n.n'g)
   2639.400,          NA,Fe-54(n.n'g), (n.n'g)
   2662.700,          NA,Fe-54(n.n'g), (n.n'g)
   2859.600,          NA,Fe-54(n.n'g), (n.n'g)
   2881.900,          NA,Fe-54(n.n'g), (n.n'g)
   3373.900,          NA,Fe-54(n.n'g), (n.n'g)
