Ge-70(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
    175.050,   2.278e-01, Ge-70(n.g), (n.g)
    499.870,   2.250e-01, Ge-70(n.g), (n.g)
    708.150,   1.146e-01, Ge-70(n.g), (n.g)
    326.830,   8.056e-02, Ge-70(n.g), (n.g)
   1095.420,   7.361e-02, Ge-70(n.g), (n.g)
   1298.610,   6.806e-02, Ge-70(n.g), (n.g)
   6036.900,   6.250e-02, Ge-70(n.g), (n.g)
    831.300,   6.181e-02, Ge-70(n.g), (n.g)
   1139.270,   6.125e-02, Ge-70(n.g), (n.g)
   6117.020,   5.972e-02, Ge-70(n.g), (n.g)
   6707.430,   5.389e-02, Ge-70(n.g), (n.g)
   6915.690,   4.306e-02, Ge-70(n.g), (n.g)
    808.140,   4.167e-02, Ge-70(n.g), (n.g)
   5450.690,   3.889e-02, Ge-70(n.g), (n.g)
   5817.170,   3.889e-02, Ge-70(n.g), (n.g)
    391.430,   3.514e-02, Ge-70(n.g), (n.g)
   6276.350,   2.972e-02, Ge-70(n.g), (n.g)
   1631.100,   2.625e-02, Ge-70(n.g), (n.g)
    572.270,   2.500e-02, Ge-70(n.g), (n.g)
   1378.730,   2.361e-02, Ge-70(n.g), (n.g)
   4881.790,   2.361e-02, Ge-70(n.g), (n.g)
   1098.620,   2.292e-02, Ge-70(n.g), (n.g)
   7415.510,   2.222e-02, Ge-70(n.g), (n.g)
   6320.190,   2.125e-02, Ge-70(n.g), (n.g)
    788.600,   1.944e-02, Ge-70(n.g), (n.g)
    306.180,   1.889e-02, Ge-70(n.g), (n.g)
   5383.850,   1.819e-02, Ge-70(n.g), (n.g)
    247.270,   1.708e-02, Ge-70(n.g), (n.g)
    851.700,   1.667e-02, Ge-70(n.g), (n.g)
    517.780,   1.583e-02, Ge-70(n.g), (n.g)
   1964.980,   1.556e-02, Ge-70(n.g), (n.g)
    283.320,   1.514e-02, Ge-70(n.g), (n.g)
    444.790,   1.486e-02, Ge-70(n.g), (n.g)
    884.000,   1.486e-02, Ge-70(n.g), (n.g)
   2351.600,   1.458e-02, Ge-70(n.g), (n.g)
    308.280,   1.444e-02, Ge-70(n.g), (n.g)
    331.430,   1.444e-02, Ge-70(n.g), (n.g)
    615.370,   1.431e-02, Ge-70(n.g), (n.g)
    916.290,   1.389e-02, Ge-70(n.g), (n.g)
    920.560,   1.389e-02, Ge-70(n.g), (n.g)
   6584.300,   1.278e-02, Ge-70(n.g), (n.g)
   1017.360,   1.264e-02, Ge-70(n.g), (n.g)
    886.070,   1.250e-02, Ge-70(n.g), (n.g)
    457.240,   1.236e-02, Ge-70(n.g), (n.g)
    526.700,   1.236e-02, Ge-70(n.g), (n.g)
    747.140,   1.222e-02, Ge-70(n.g), (n.g)
    935.300,   1.208e-02, Ge-70(n.g), (n.g)
   5064.100,   1.181e-02, Ge-70(n.g), (n.g)
   5269.580,   1.111e-02, Ge-70(n.g), (n.g)
   2031.820,   1.069e-02, Ge-70(n.g), (n.g)
    798.750,   1.042e-02, Ge-70(n.g), (n.g)
    561.840,   1.014e-02, Ge-70(n.g), (n.g)
   5158.770,   9.861e-03, Ge-70(n.g), (n.g)
    639.400,   9.722e-03, Ge-70(n.g), (n.g)
    350.260,   9.583e-03, Ge-70(n.g), (n.g)
    580.320,   8.333e-03, Ge-70(n.g), (n.g)
   5191.200,   8.333e-03, Ge-70(n.g), (n.g)
   1033.600,   7.083e-03, Ge-70(n.g), (n.g)
   1743.430,   7.083e-03, Ge-70(n.g), (n.g)
   1940.560,   7.083e-03, Ge-70(n.g), (n.g)
   2256.910,   6.944e-03, Ge-70(n.g), (n.g)
   1416.150,   6.806e-03, Ge-70(n.g), (n.g)
   4980.500,   6.806e-03, Ge-70(n.g), (n.g)
   1598.480,   6.111e-03, Ge-70(n.g), (n.g)
   1203.870,   5.139e-03, Ge-70(n.g), (n.g)
   5672.230,   5.139e-03, Ge-70(n.g), (n.g)
   1423.620,   4.861e-03, Ge-70(n.g), (n.g)
   2224.490,   4.722e-03, Ge-70(n.g), (n.g)
   4951.100,   4.722e-03, Ge-70(n.g), (n.g)
    533.290,   4.583e-03, Ge-70(n.g), (n.g)
   1349.070,   4.444e-03, Ge-70(n.g), (n.g)
   5873.180,   4.097e-03, Ge-70(n.g), (n.g)
    823.950,   4.028e-03, Ge-70(n.g), (n.g)
   4900.450,   3.611e-03, Ge-70(n.g), (n.g)
   1026.560,   3.194e-03, Ge-70(n.g), (n.g)
    241.580,   2.917e-03, Ge-70(n.g), (n.g)
    373.800,   2.639e-03, Ge-70(n.g), (n.g)
   4988.000,   2.639e-03, Ge-70(n.g), (n.g)
   1618.990,   2.361e-03, Ge-70(n.g), (n.g)
   6607.450,   2.278e-03, Ge-70(n.g), (n.g)
    279.430,   1.389e-03, Ge-70(n.g), (n.g)
     23.438,   5.417e-04, Ge-70(n.g), (n.g)
