Ge-70(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
   1039.490,   1.000e+00,Ge-70(n.n'g), (n.n'g)
    176.040,   1.160e-01,Ge-70(n.n'g), (n.n'g)
    668.210,   1.060e-01,Ge-70(n.n'g), (n.n'g)
   1707.610,   1.020e-01,Ge-70(n.n'g), (n.n'g)
   1113.600,   6.200e-02,Ge-70(n.n'g), (n.n'g)
   1522.550,   4.700e-02,Ge-70(n.n'g), (n.n'g)
   1117.280,   3.000e-02,Ge-70(n.n'g), (n.n'g)
    743.620,   2.900e-02,Ge-70(n.n'g), (n.n'g)
    941.100,   2.500e-02,Ge-70(n.n'g), (n.n'g)
   1495.430,   2.100e-02,Ge-70(n.n'g), (n.n'g)
    827.240,   1.600e-02,Ge-70(n.n'g), (n.n'g)
   1098.540,   1.600e-02,Ge-70(n.n'g), (n.n'g)
   1411.860,   1.300e-02,Ge-70(n.n'g), (n.n'g)
   1267.500,   1.100e-02,Ge-70(n.n'g), (n.n'g)
   1236.700,   1.000e-02,Ge-70(n.n'g), (n.n'g)
   2019.160,   9.000e-03,Ge-70(n.n'g), (n.n'g)
   2156.650,   8.000e-03,Ge-70(n.n'g), (n.n'g)
    595.110,   7.000e-03,Ge-70(n.n'g), (n.n'g)
    905.610,   7.000e-03,Ge-70(n.n'g), (n.n'g)
   2141.100,   7.000e-03,Ge-70(n.n'g), (n.n'g)
    893.500,   6.000e-03,Ge-70(n.n'g), (n.n'g)
   2295.300,   6.000e-03,Ge-70(n.n'g), (n.n'g)
   1780.520,   5.000e-03,Ge-70(n.n'g), (n.n'g)
   2274.600,   5.000e-03,Ge-70(n.n'g), (n.n'g)
   1587.170,   4.000e-03,Ge-70(n.n'g), (n.n'g)
   1218.570,   3.000e-03,Ge-70(n.n'g), (n.n'g)
   1338.760,   3.000e-03,Ge-70(n.n'g), (n.n'g)
   1427.600,   3.000e-03,Ge-70(n.n'g), (n.n'g)
   2067.600,   3.000e-03,Ge-70(n.n'g), (n.n'g)
   2591.900,   3.000e-03,Ge-70(n.n'g), (n.n'g)
    450.400,   2.000e-03,Ge-70(n.n'g), (n.n'g)
    607.340,   2.000e-03,Ge-70(n.n'g), (n.n'g)
    653.150,   2.000e-03,Ge-70(n.n'g), (n.n'g)
    658.100,   2.000e-03,Ge-70(n.n'g), (n.n'g)
    730.800,   2.000e-03,Ge-70(n.n'g), (n.n'g)
    889.720,   2.000e-03,Ge-70(n.n'g), (n.n'g)
   1179.500,   2.000e-03,Ge-70(n.n'g), (n.n'g)
   1319.600,   2.000e-03,Ge-70(n.n'g), (n.n'g)
   1331.580,   2.000e-03,Ge-70(n.n'g), (n.n'g)
    492.090,   1.000e-03,Ge-70(n.n'g), (n.n'g)
    760.200,   1.000e-03,Ge-70(n.n'g), (n.n'g)
   1350.900,   1.000e-03,Ge-70(n.n'g), (n.n'g)
   1399.200,   1.000e-03,Ge-70(n.n'g), (n.n'g)
   2006.870,   1.000e-03,Ge-70(n.n'g), (n.n'g)
    250.460,          NA,Ge-70(n.n'g), (n.n'g)
    357.720,          NA,Ge-70(n.n'g), (n.n'g)
