N-14(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
   5269.159,   2.969e-01,  N-14(n.g), (n.g)
   5297.821,   2.113e-01,  N-14(n.g), (n.g)
   5533.395,   1.950e-01,  N-14(n.g), (n.g)
   1884.821,   1.849e-01,  N-14(n.g), (n.g)
   6322.428,   1.824e-01,  N-14(n.g), Dopp.Brd?
   4508.731,   1.660e-01,  N-14(n.g), (n.g)
   3677.732,   1.447e-01,  N-14(n.g), (n.g)
  10829.120,   1.421e-01,  N-14(n.g), (n.g)
   5562.057,   1.057e-01,  N-14(n.g), (n.g)
   7298.983,   9.384e-02,  N-14(n.g), Dopp.Brd?
   3531.981,   8.931e-02,  N-14(n.g), (n.g)
   1678.281,   7.925e-02,  N-14(n.g), (n.g)
   2520.457,   5.547e-02,  N-14(n.g), (n.g)
   8310.161,   4.151e-02,  N-14(n.g), Dopp.Brd?
   1999.690,   4.063e-02,  N-14(n.g), (n.g)
   2830.789,   1.686e-02,  N-14(n.g), (n.g)
   1681.240,   1.623e-02,  N-14(n.g), (n.g)
   9148.980,   1.623e-02,  N-14(n.g), Dopp.Brd?
   3855.577,   7.874e-03,  N-14(n.g), (n.g)
   3013.482,   7.170e-03,  N-14(n.g), Dopp.Brd?
   1853.922,   6.390e-03,  N-14(n.g), (n.g)
   3884.242,   5.484e-03,  N-14(n.g), (n.g)
    583.590,   5.396e-03,  N-14(n.g), (n.g)
   1988.632,   3.635e-03,  N-14(n.g), Dopp.Brd?
   1783.610,   2.453e-03,  N-14(n.g), (n.g)
   2001.920,   2.390e-03,  N-14(n.g), Dopp.Brd?
   9046.660,   2.000e-03,  N-14(n.g), Dopp.Brd?
    908.410,   1.597e-03,  N-14(n.g), (n.g)
   9151.937,   1.509e-03,  N-14(n.g), (n.g)
   3300.790,   1.459e-03,  N-14(n.g), Dopp.Brd?
   1011.706,   1.358e-03,  N-14(n.g), Dopp.Brd?
   9921.360,   1.245e-03,  N-14(n.g), Dopp.Brd?
   1612.150,   1.195e-03,  N-14(n.g), (n.g)
   1073.000,   8.679e-04,  N-14(n.g), (n.g)
   3881.290,   7.925e-04,  N-14(n.g), Dopp.Brd?
   2261.800,   7.673e-04,  N-14(n.g), (n.g)
   1610.750,   7.296e-04,  N-14(n.g), (n.g)
   2030.589,   7.296e-04,  N-14(n.g), Dopp.Brd?
   8568.710,   6.792e-04,  N-14(n.g), Dopp.Brd?
    767.820,   6.415e-04,  N-14(n.g), (n.g)
   7153.270,   6.289e-04,  N-14(n.g), (n.g)
   3269.410,   5.912e-04,  N-14(n.g), (n.g)
  10061.850,   5.660e-04,  N-14(n.g), Dopp.Brd?
   9756.870,   5.535e-04,  N-14(n.g), Dopp.Brd?
    831.218,   4.654e-04,  N-14(n.g), (n.g)
   2293.180,   4.528e-04,  N-14(n.g), (n.g)
   3923.100,   3.648e-04,  N-14(n.g), (n.g)
    976.996,   3.522e-04,  N-14(n.g), (n.g)
    608.280,   3.145e-04,  N-14(n.g), Dopp.Brd?
   4653.950,   2.767e-04,  N-14(n.g), Dopp.Brd?
   2898.310,   2.138e-04,  N-14(n.g), (n.g)
   2725.470,   2.013e-04,  N-14(n.g), Dopp.Brd?
   9219.430,   1.887e-04,  N-14(n.g), (n.g)
    131.590,   1.761e-04,  N-14(n.g), (n.g)
   1024.995,   1.585e-04,  N-14(n.g), Dopp.Brd?
   1053.666,   1.509e-04,  N-14(n.g), Dopp.Brd?
   2247.300,   1.509e-04,  N-14(n.g), Dopp.Brd?
    769.920,   1.006e-04,  N-14(n.g), Dopp.Brd?
  10697.630,   1.006e-04,  N-14(n.g), (n.g)
    383.000,   6.918e-05,  N-14(n.g), (n.g)
