N-14(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
   1635.200, Most Likely,N-14(n.n'g), Dopp.Brd?
   2312.593, Most Likely,N-14(n.n'g), (n.n'g)
    728.340,          NA,N-14(n.n'g), (n.n'g)
   2792.790,          NA,N-14(n.n'g), (n.n'g)
   3378.200,          NA,N-14(n.n'g), Dopp.Brd?
   3947.500,          NA,N-14(n.n'g), Dopp.Brd?
   4914.200,          NA,N-14(n.n'g), Dopp.Brd?
   5104.790,          NA,N-14(n.n'g), (n.n'g)
   5690.200,          NA,N-14(n.n'g), Dopp.Brd?
   5832.940,          NA,N-14(n.n'g), (n.n'g)
   7027.220,          NA,N-14(n.n'g), (n.n'g)
