O-17(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
   1981.950,   9.804e-01,  O-17(n.g), (n.g)
   3588.500,   3.676e-01,  O-17(n.g), (n.g)
    821.760,   2.843e-01,  O-17(n.g), (n.g)
   1651.610,   2.745e-01,  O-17(n.g), (n.g)
   1693.100,   2.549e-01,  O-17(n.g), (n.g)
   2473.290,   2.059e-01,  O-17(n.g), (n.g)
   2946.600,   1.863e-01,  O-17(n.g), (n.g)
   1938.260,   1.667e-01,  O-17(n.g), (n.g)
   2430.680,   1.422e-01,  O-17(n.g), (n.g)
   3115.400,   1.373e-01,  O-17(n.g), (n.g)
   2666.400,   1.078e-01,  O-17(n.g), (n.g)
   3395.390,   9.314e-02,  O-17(n.g), (n.g)
   4369.230,   8.333e-02,  O-17(n.g), (n.g)
   1177.300,   3.235e-02,  O-17(n.g), (n.g)
   1895.760,   3.137e-02,  O-17(n.g), (n.g)
   3919.980,   2.941e-02,  O-17(n.g), (n.g)
   1457.360,   1.471e-02,  O-17(n.g), (n.g)
   1542.900,   1.078e-02,  O-17(n.g), (n.g)
   1572.600,   1.078e-02,  O-17(n.g), (n.g)
    535.090,   9.804e-03,  O-17(n.g), (n.g)
