P-31(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
    512.646,   4.593e-01,  P-31(n.g), (n.g)
     78.083,   3.430e-01,  P-31(n.g), (n.g)
    636.663,   1.808e-01,  P-31(n.g), (n.g)
   3899.890,   1.709e-01,  P-31(n.g), (n.g)
   6785.504,   1.552e-01,  P-31(n.g), (n.g)
   1071.217,   1.448e-01,  P-31(n.g), (n.g)
   3522.590,   1.273e-01,  P-31(n.g), (n.g)
   4671.370,   1.128e-01,  P-31(n.g), (n.g)
   2156.900,   7.442e-02,  P-31(n.g), (n.g)
   2114.470,   6.686e-02,  P-31(n.g), (n.g)
   3058.170,   6.395e-02,  P-31(n.g), (n.g)
   2151.520,   5.814e-02,  P-31(n.g), (n.g)
   2586.000,   5.174e-02,  P-31(n.g), (n.g)
   3273.980,   4.826e-02,  P-31(n.g), (n.g)
   7422.022,   4.767e-02,  P-31(n.g), (n.g)
   4364.300,   4.244e-02,  P-31(n.g), (n.g)
   2885.990,   3.721e-02,  P-31(n.g), (n.g)
   5265.510,   3.372e-02,  P-31(n.g), (n.g)
   4661.070,   3.302e-02,  P-31(n.g), (n.g)
   4199.870,   3.198e-02,  P-31(n.g), (n.g)
   1322.720,   3.076e-02,  P-31(n.g), (n.g)
   5705.370,   2.488e-02,  P-31(n.g), (n.g)
   1941.050,   2.401e-02,  P-31(n.g), (n.g)
   1676.840,   2.355e-02,  P-31(n.g), (n.g)
   1149.298,   2.209e-02,  P-31(n.g), (n.g)
   3926.480,   2.140e-02,  P-31(n.g), (n.g)
   2863.010,   2.087e-02,  P-31(n.g), (n.g)
   1244.640,   2.076e-02,  P-31(n.g), (n.g)
   3185.610,   1.895e-02,  P-31(n.g), (n.g)
   4491.000,   1.878e-02,  P-31(n.g), (n.g)
   1873.520,   1.860e-02,  P-31(n.g), (n.g)
   1508.850,   1.849e-02,  P-31(n.g), (n.g)
   3922.870,   1.756e-02,  P-31(n.g), (n.g)
   2426.290,   1.541e-02,  P-31(n.g), (n.g)
   2657.350,   1.465e-02,  P-31(n.g), (n.g)
   2227.500,   1.442e-02,  P-31(n.g), (n.g)
   5194.910,   1.372e-02,  P-31(n.g), (n.g)
   1034.160,   1.198e-02,  P-31(n.g), (n.g)
   1739.140,   1.169e-02,  P-31(n.g), (n.g)
   4359.570,   1.134e-02,  P-31(n.g), (n.g)
   5277.660,   1.093e-02,  P-31(n.g), (n.g)
   2514.650,   9.070e-03,  P-31(n.g), (n.g)
   5778.060,   8.837e-03,  P-31(n.g), (n.g)
   7856.480,   8.721e-03,  P-31(n.g), (n.g)
   3548.730,   7.849e-03,  P-31(n.g), (n.g)
   1353.560,   7.326e-03,  P-31(n.g), (n.g)
   2234.070,   7.151e-03,  P-31(n.g), (n.g)
   4008.590,   7.093e-03,  P-31(n.g), (n.g)
   3444.060,   7.035e-03,  P-31(n.g), (n.g)
   4912.300,   6.628e-03,  P-31(n.g), (n.g)
   3365.980,   6.512e-03,  P-31(n.g), (n.g)
   4876.870,   6.453e-03,  P-31(n.g), (n.g)
   3930.520,   6.279e-03,  P-31(n.g), (n.g)
   3957.100,   5.930e-03,  P-31(n.g), (n.g)
   5699.990,   5.930e-03,  P-31(n.g), (n.g)
    744.990,   5.872e-03,  P-31(n.g), (n.g)
    558.460,   5.814e-03,  P-31(n.g), (n.g)
   2740.110,   4.942e-03,  P-31(n.g), (n.g)
   3554.310,   4.884e-03,  P-31(n.g), (n.g)
   2579.270,   4.767e-03,  P-31(n.g), (n.g)
   4628.940,   4.767e-03,  P-31(n.g), (n.g)
   2229.590,   4.651e-03,  P-31(n.g), (n.g)
   1805.720,   4.302e-03,  P-31(n.g), (n.g)
   2217.730,   4.012e-03,  P-31(n.g), (n.g)
   6061.410,   4.012e-03,  P-31(n.g), (n.g)
   1214.550,   3.779e-03,  P-31(n.g), (n.g)
   3263.680,   3.779e-03,  P-31(n.g), (n.g)
   7934.540,   3.779e-03,  P-31(n.g), (n.g)
   5683.220,   3.721e-03,  P-31(n.g), (n.g)
   5717.240,   3.721e-03,  P-31(n.g), (n.g)
   3119.650,   3.605e-03,  P-31(n.g), (n.g)
   1377.950,   3.430e-03,  P-31(n.g), (n.g)
   6195.770,   3.372e-03,  P-31(n.g), (n.g)
   1808.300,   3.198e-03,  P-31(n.g), (n.g)
   3224.960,   3.180e-03,  P-31(n.g), (n.g)
   1340.600,   3.081e-03,  P-31(n.g), (n.g)
   1587.440,   2.965e-03,  P-31(n.g), (n.g)
   2099.010,   2.965e-03,  P-31(n.g), (n.g)
   2431.660,   2.965e-03,  P-31(n.g), (n.g)
   6503.210,   2.878e-03,  P-31(n.g), (n.g)
   1473.720,   2.849e-03,  P-31(n.g), (n.g)
    895.040,   2.733e-03,  P-31(n.g), (n.g)
   1613.360,   2.674e-03,  P-31(n.g), (n.g)
   1151.980,   2.616e-03,  P-31(n.g), (n.g)
   2136.960,   2.558e-03,  P-31(n.g), (n.g)
   2712.580,   2.558e-03,  P-31(n.g), (n.g)
    771.580,   2.500e-03,  P-31(n.g), (n.g)
   3511.910,   2.500e-03,  P-31(n.g), (n.g)
   2347.910,   2.442e-03,  P-31(n.g), (n.g)
   4125.840,   2.209e-03,  P-31(n.g), (n.g)
   5349.010,   2.192e-03,  P-31(n.g), (n.g)
   3338.500,   2.134e-03,  P-31(n.g), (n.g)
   6331.960,   2.105e-03,  P-31(n.g), (n.g)
   2275.460,   2.093e-03,  P-31(n.g), (n.g)
   4738.900,   2.006e-03,  P-31(n.g), (n.g)
   4143.350,   1.913e-03,  P-31(n.g), (n.g)
   6581.280,   1.872e-03,  P-31(n.g), (n.g)
   1256.270,   1.860e-03,  P-31(n.g), (n.g)
   1318.950,   1.802e-03,  P-31(n.g), (n.g)
   4455.540,   1.802e-03,  P-31(n.g), (n.g)
   4798.800,   1.791e-03,  P-31(n.g), (n.g)
    902.490,   1.686e-03,  P-31(n.g), (n.g)
   3713.640,   1.686e-03,  P-31(n.g), (n.g)
    754.430,   1.628e-03,  P-31(n.g), (n.g)
   1425.010,   1.628e-03,  P-31(n.g), (n.g)
   2842.630,   1.628e-03,  P-31(n.g), (n.g)
   1314.010,   1.570e-03,  P-31(n.g), (n.g)
   1800.040,   1.512e-03,  P-31(n.g), (n.g)
