Pu-242(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
    287.400,   4.117e-01,Pu-242(n.g), (n.g)
    416.500,   5.063e-02,Pu-242(n.g), (n.g)
    242.000,   3.652e-02,Pu-242(n.g), (n.g)
    513.600,   1.892e-02,Pu-242(n.g), (n.g)
    889.100,   1.851e-02,Pu-242(n.g), (n.g)
    526.200,   1.536e-02,Pu-242(n.g), (n.g)
    564.700,   1.519e-02,Pu-242(n.g), (n.g)
    813.800,   1.469e-02,Pu-242(n.g), (n.g)
    402.600,   1.336e-02,Pu-242(n.g), (n.g)
    343.900,   1.096e-02,Pu-242(n.g), (n.g)
   1176.500,   9.628e-03,Pu-242(n.g), (n.g)
    275.100,   9.130e-03,Pu-242(n.g), (n.g)
    501.200,   8.964e-03,Pu-242(n.g), (n.g)
    284.400,   8.300e-03,Pu-242(n.g), (n.g)
    407.100,   7.885e-03,Pu-242(n.g), (n.g)
    555.700,   7.719e-03,Pu-242(n.g), (n.g)
    229.300,   7.470e-03,Pu-242(n.g), (n.g)
    558.000,   7.055e-03,Pu-242(n.g), (n.g)
    522.100,   6.391e-03,Pu-242(n.g), (n.g)
    333.000,   5.810e-03,Pu-242(n.g), (n.g)
    219.900,   4.980e-03,Pu-242(n.g), (n.g)
    261.700,   4.980e-03,Pu-242(n.g), (n.g)
    480.600,   4.814e-03,Pu-242(n.g), (n.g)
    746.400,   4.814e-03,Pu-242(n.g), (n.g)
    625.200,   4.565e-03,Pu-242(n.g), (n.g)
    676.000,   4.233e-03,Pu-242(n.g), (n.g)
   3543.000,   4.183e-03,Pu-242(n.g), (n.g)
    159.200,   4.150e-03,Pu-242(n.g), (n.g)
   3517.400,   3.860e-03,Pu-242(n.g), (n.g)
    738.200,   3.818e-03,Pu-242(n.g), (n.g)
    663.900,   3.735e-03,Pu-242(n.g), (n.g)
    589.100,   3.652e-03,Pu-242(n.g), (n.g)
   4330.000,   3.611e-03,Pu-242(n.g), (n.g)
   3646.800,   3.511e-03,Pu-242(n.g), (n.g)
   1042.100,   3.320e-03,Pu-242(n.g), (n.g)
   3614.000,   3.237e-03,Pu-242(n.g), (n.g)
   4220.600,   3.179e-03,Pu-242(n.g), (n.g)
    976.000,   3.154e-03,Pu-242(n.g), (n.g)
    533.900,   2.905e-03,Pu-242(n.g), (n.g)
    683.400,   2.573e-03,Pu-242(n.g), (n.g)
   1087.100,   2.573e-03,Pu-242(n.g), (n.g)
   4085.500,   2.515e-03,Pu-242(n.g), (n.g)
    385.700,   2.490e-03,Pu-242(n.g), (n.g)
    787.500,   2.407e-03,Pu-242(n.g), (n.g)
   1053.800,   2.407e-03,Pu-242(n.g), (n.g)
    439.400,   2.241e-03,Pu-242(n.g), (n.g)
   4128.600,   2.009e-03,Pu-242(n.g), (n.g)
    757.500,   1.992e-03,Pu-242(n.g), (n.g)
    233.900,   1.826e-03,Pu-242(n.g), (n.g)
    426.000,   1.826e-03,Pu-242(n.g), (n.g)
    844.300,   1.826e-03,Pu-242(n.g), (n.g)
    918.000,   1.826e-03,Pu-242(n.g), (n.g)
    644.200,   1.743e-03,Pu-242(n.g), multiplet?
    838.700,   1.743e-03,Pu-242(n.g), (n.g)
   4225.000,   1.660e-03,Pu-242(n.g), (n.g)
    925.300,   1.660e-03,Pu-242(n.g), (n.g)
    648.800,   1.577e-03,Pu-242(n.g), (n.g)
    716.900,   1.577e-03,Pu-242(n.g), (n.g)
   4243.000,   1.477e-03,Pu-242(n.g), (n.g)
   3903.900,   1.378e-03,Pu-242(n.g), (n.g)
    551.700,   1.245e-03,Pu-242(n.g), (n.g)
    879.800,   1.245e-03,Pu-242(n.g), (n.g)
    693.500,   1.162e-03,Pu-242(n.g), (n.g)
    714.700,   1.162e-03,Pu-242(n.g), (n.g)
    781.100,   1.162e-03,Pu-242(n.g), (n.g)
   3666.400,   1.079e-03,Pu-242(n.g), (n.g)
   3733.000,   9.960e-04,Pu-242(n.g), (n.g)
    730.100,   9.960e-04,Pu-242(n.g), (n.g)
   1028.400,   9.960e-04,Pu-242(n.g), (n.g)
   4381.200,   7.553e-04,Pu-242(n.g), (n.g)
   4641.900,   7.304e-04,Pu-242(n.g), (n.g)
   4587.400,   6.889e-04,Pu-242(n.g), (n.g)
   4356.900,   5.312e-04,Pu-242(n.g), (n.g)
   4650.900,   2.573e-04,Pu-242(n.g), (n.g)
   3857.500,   2.158e-04,Pu-242(n.g), (n.g)
   3599.000,          NA,Pu-242(n.g), broad peak
    344.500,          NA,Pu-242(n.g), (n.g)
