W-182(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
    100.106,   1.000e+00,W-182(n.n'g), (n.n'g)
    229.321,   1.596e-01,W-182(n.n'g), (n.n'g)
   1121.290,   5.385e-02,W-182(n.n'g), (n.n'g)
   1221.395,   4.231e-02,W-182(n.n'g), (n.n'g)
   1231.004,   3.183e-02,W-182(n.n'g), (n.n'g)
    152.430,   2.212e-02,W-182(n.n'g), (n.n'g)
    351.020,   2.019e-02,W-182(n.n'g), (n.n'g)
   1257.407,   1.625e-02,W-182(n.n'g), (n.n'g)
   1035.650,   1.490e-02,W-182(n.n'g), (n.n'g)
   1189.040,   1.413e-02,W-182(n.n'g), (n.n'g)
   1157.300,   1.029e-02,W-182(n.n'g), (n.n'g)
    156.386,   9.615e-03,W-182(n.n'g), (n.n'g)
   1113.410,   9.327e-03,W-182(n.n'g), (n.n'g)
    928.000,   8.558e-03,W-182(n.n'g), (n.n'g)
   1180.800,   7.212e-03,W-182(n.n'g), (n.n'g)
   1001.700,   6.827e-03,W-182(n.n'g), (n.n'g)
   1294.000,   6.346e-03,W-182(n.n'g), (n.n'g)
   1342.730,   4.808e-03,W-182(n.n'g), (n.n'g)
   1756.000,   4.808e-03,W-182(n.n'g), (n.n'g)
   1818.600,   4.519e-03,W-182(n.n'g), multiplet?
    222.108,   4.327e-03,W-182(n.n'g), (n.n'g)
   1856.700,   4.135e-03,W-182(n.n'g), (n.n'g)
   1629.800,   4.038e-03,W-182(n.n'g), (n.n'g)
   1410.130,   3.558e-03,W-182(n.n'g), (n.n'g)
    544.200,   3.173e-03,W-182(n.n'g), (n.n'g)
   1859.100,   2.885e-03,W-182(n.n'g), (n.n'g)
    894.850,   2.308e-03,W-182(n.n'g), (n.n'g)
    943.100,   2.212e-03,W-182(n.n'g), (n.n'g)
   2016.300,   2.212e-03,W-182(n.n'g), (n.n'g)
    627.500,   2.019e-03,W-182(n.n'g), (n.n'g)
   1871.200,   2.019e-03,W-182(n.n'g), (n.n'g)
   2047.400,   2.019e-03,W-182(n.n'g), (n.n'g)
    900.800,   1.923e-03,W-182(n.n'g), (n.n'g)
   1771.000,   1.923e-03,W-182(n.n'g), (n.n'g)
   1957.400,   1.731e-03,W-182(n.n'g), (n.n'g)
   2108.900,   1.731e-03,W-182(n.n'g), (n.n'g)
    264.074,   1.635e-03,W-182(n.n'g), (n.n'g)
   1881.800,   1.635e-03,W-182(n.n'g), (n.n'g)
    434.300,   1.538e-03,W-182(n.n'g), (n.n'g)
    524.200,   1.538e-03,W-182(n.n'g), (n.n'g)
    830.100,   1.538e-03,W-182(n.n'g), (n.n'g)
    470.260,   1.442e-03,W-182(n.n'g), (n.n'g)
   1289.145,   1.442e-03,W-182(n.n'g), (n.n'g)
   1757.000,   1.442e-03,W-182(n.n'g), (n.n'g)
   1813.600,   1.442e-03,W-182(n.n'g), (n.n'g)
    463.900,   1.346e-03,W-182(n.n'g), (n.n'g)
   1653.100,   1.346e-03,W-182(n.n'g), (n.n'g)
   2208.800,   1.346e-03,W-182(n.n'g), (n.n'g)
   2283.500,   1.346e-03,W-182(n.n'g), (n.n'g)
   1076.400,   1.250e-03,W-182(n.n'g), (n.n'g)
   1273.719,   1.250e-03,W-182(n.n'g), (n.n'g)
   1733.000,   1.250e-03,W-182(n.n'g), (n.n'g)
   2073.300,   1.250e-03,W-182(n.n'g), (n.n'g)
   1427.200,   1.154e-03,W-182(n.n'g), (n.n'g)
    281.430,   1.058e-03,W-182(n.n'g), (n.n'g)
   2140.300,   1.058e-03,W-182(n.n'g), (n.n'g)
    556.700,   9.615e-04,W-182(n.n'g), multiplet?
    650.700,   9.615e-04,W-182(n.n'g), (n.n'g)
    449.800,   8.654e-04,W-182(n.n'g), (n.n'g)
    909.700,   8.654e-04,W-182(n.n'g), (n.n'g)
   1688.300,   8.654e-04,W-182(n.n'g), (n.n'g)
   1915.300,   8.654e-04,W-182(n.n'g), (n.n'g)
   1877.600,   7.692e-04,W-182(n.n'g), (n.n'g)
   2057.400,   7.692e-04,W-182(n.n'g), (n.n'g)
    286.560,   6.731e-04,W-182(n.n'g), (n.n'g)
    835.980,   5.769e-04,W-182(n.n'g), multiplet?
   1879.600,   5.769e-04,W-182(n.n'g), (n.n'g)
   1959.200,   5.577e-04,W-182(n.n'g), (n.n'g)
    300.360,   5.288e-04,W-182(n.n'g), (n.n'g)
    666.400,   5.288e-04,W-182(n.n'g), (n.n'g)
    817.000,   5.288e-04,W-182(n.n'g), (n.n'g)
    952.300,   5.288e-04,W-182(n.n'g), (n.n'g)
    723.800,   4.231e-04,W-182(n.n'g), (n.n'g)
    734.530,   3.846e-04,W-182(n.n'g), (n.n'g)
    810.240,   3.846e-04,W-182(n.n'g), (n.n'g)
   2010.100,   3.462e-04,W-182(n.n'g), (n.n'g)
    787.110,   2.885e-04,W-182(n.n'g), (n.n'g)
   1527.000,   2.885e-04,W-182(n.n'g), (n.n'g)
   2084.000,   1.923e-04,W-182(n.n'g), (n.n'g)
     67.750,          NA,W-182(n.n'g), (n.n'g)
    178.470,          NA,W-182(n.n'g), multiplet?
    179.394,          NA,W-182(n.n'g), (n.n'g)
    598.560,          NA,W-182(n.n'g), (n.n'g)
