W-183(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
    111.216,   1.327e-01, W-183(n.g), (n.g)
    792.059,   8.095e-02, W-183(n.g), (n.g)
    903.274,   7.823e-02, W-183(n.g), (n.g)
    252.854,   6.871e-02, W-183(n.g), (n.g)
    894.735,   5.102e-02, W-183(n.g), (n.g)
   7410.990,   4.830e-02, W-183(n.g), (n.g)
    226.743,   4.558e-02, W-183(n.g), (n.g)
    891.270,   4.286e-02, W-183(n.g), (n.g)
   6408.540,   2.925e-02, W-183(n.g), (n.g)
   1010.177,   2.449e-02, W-183(n.g), (n.g)
   6024.820,   2.449e-02, W-183(n.g), (n.g)
   1275.010,   2.177e-02, W-183(n.g), (n.g)
    757.324,   1.905e-02, W-183(n.g), (n.g)
   6189.750,   1.796e-02, W-183(n.g), (n.g)
   1386.220,   1.701e-02, W-183(n.g), (n.g)
   2035.640,   1.701e-02, W-183(n.g), (n.g)
   6289.640,   1.599e-02, W-183(n.g), (n.g)
   5796.190,   1.565e-02, W-183(n.g), (n.g)
   2183.290,   1.497e-02, W-183(n.g), (n.g)
    318.015,   1.429e-02, W-183(n.g), (n.g)
   1945.140,   1.361e-02, W-183(n.g), (n.g)
   1919.400,   1.293e-02, W-183(n.g), (n.g)
   2284.320,   1.224e-02, W-183(n.g), (n.g)
   2369.900,   1.224e-02, W-183(n.g), (n.g)
    724.390,   1.218e-02, W-183(n.g), (n.g)
   1412.030,   1.156e-02, W-183(n.g), (n.g)
   5015.520,   1.102e-02, W-183(n.g), (n.g)
   5797.500,   1.095e-02, W-183(n.g), (n.g)
   7299.780,   1.082e-02, W-183(n.g), (n.g)
   1121.392,   9.796e-03, W-183(n.g), (n.g)
   1319.770,   9.116e-03, W-183(n.g), (n.g)
   1569.900,   8.844e-03, W-183(n.g), (n.g)
   2135.080,   8.844e-03, W-183(n.g), (n.g)
    710.280,   8.027e-03, W-183(n.g), (n.g)
   5285.000,   7.823e-03, W-183(n.g), (n.g)
   5116.550,   7.755e-03, W-183(n.g), (n.g)
    607.600,   7.619e-03, W-183(n.g), (n.g)
   3696.200,   7.483e-03, W-183(n.g), (n.g)
   3864.400,   7.483e-03, W-183(n.g), (n.g)
   5534.370,   7.483e-03, W-183(n.g), (n.g)
    711.590,   7.347e-03, W-183(n.g), (n.g)
    215.340,   7.279e-03, W-183(n.g), (n.g)
    294.958,   7.211e-03, W-183(n.g), (n.g)
   1430.980,   7.211e-03, W-183(n.g), (n.g)
   1765.470,   7.143e-03, W-183(n.g), (n.g)
   2014.850,   7.075e-03, W-183(n.g), (n.g)
   1995.480,   7.007e-03, W-183(n.g), (n.g)
   6507.750,   6.667e-03, W-183(n.g), (n.g)
   1949.690,   6.599e-03, W-183(n.g), (n.g)
    383.840,   6.531e-03, W-183(n.g), (n.g)
    418.845,   6.259e-03, W-183(n.g), (n.g)
   2056.350,   6.190e-03, W-183(n.g), (n.g)
   2056.940,   6.190e-03, W-183(n.g), (n.g)
   4952.400,   6.122e-03, W-183(n.g), (n.g)
   4647.100,   5.986e-03, W-183(n.g), (n.g)
    641.881,   5.850e-03, W-183(n.g), (n.g)
   4306.600,   5.714e-03, W-183(n.g), (n.g)
    746.670,   5.646e-03, W-183(n.g), (n.g)
    769.670,   5.238e-03, W-183(n.g), (n.g)
   1313.757,   5.238e-03, W-183(n.g), (n.g)
    124.067,   4.830e-03, W-183(n.g), (n.g)
   3707.800,   4.762e-03, W-183(n.g), (n.g)
   4226.600,   4.490e-03, W-183(n.g), (n.g)
   5298.560,   4.422e-03, W-183(n.g), (n.g)
   4609.100,   4.354e-03, W-183(n.g), (n.g)
    482.950,   4.218e-03, W-183(n.g), (n.g)
   4384.600,   4.082e-03, W-183(n.g), (n.g)
   5242.900,   4.082e-03, W-183(n.g), (n.g)
   1022.530,   4.014e-03, W-183(n.g), (n.g)
   1503.640,   4.014e-03, W-183(n.g), (n.g)
   4596.700,   3.946e-03, W-183(n.g), (n.g)
    743.190,   3.741e-03, W-183(n.g), (n.g)
    920.820,   3.741e-03, W-183(n.g), (n.g)
    996.050,   3.741e-03, W-183(n.g), (n.g)
   2258.700,   3.673e-03, W-183(n.g), (n.g)
   2097.810,   3.537e-03, W-183(n.g), (n.g)
