Zn-68(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
   1007.809,   2.786e-01, Zn-68(n.g), (n.g)
   5474.020,   2.090e-01, Zn-68(n.g), (n.g)
    834.770,   1.841e-01, Zn-68(n.g), (n.g)
   4137.290,   1.020e-01, Zn-68(n.g), (n.g)
    531.440,   8.109e-02, Zn-68(n.g), (n.g)
    434.030,   6.368e-02, Zn-68(n.g), (n.g)
   1178.550,   5.075e-02, Zn-68(n.g), (n.g)
   2344.600,   4.975e-02, Zn-68(n.g), (n.g)
   6481.750,   4.975e-02, Zn-68(n.g), (n.g)
   4103.300,   4.428e-02, Zn-68(n.g), (n.g)
   5647.050,   4.080e-02, Zn-68(n.g), (n.g)
   4887.820,   3.980e-02, Zn-68(n.g), (n.g)
   1252.070,   3.632e-02, Zn-68(n.g), (n.g)
   4652.300,   2.935e-02, Zn-68(n.g), (n.g)
   4430.690,   2.736e-02, Zn-68(n.g), (n.g)
   1594.050,   2.537e-02, Zn-68(n.g), (n.g)
   1813.180,   2.537e-02, Zn-68(n.g), (n.g)
   5229.780,   2.189e-02, Zn-68(n.g), (n.g)
    417.300,   2.139e-02, Zn-68(n.g), (n.g)
    759.290,   1.940e-02, Zn-68(n.g), (n.g)
   2378.600,   1.940e-02, Zn-68(n.g), (n.g)
   4071.400,   1.791e-02, Zn-68(n.g), (n.g)
   1829.500,   1.741e-02, Zn-68(n.g), (n.g)
   1216.450,   1.592e-02, Zn-68(n.g), (n.g)
   4499.300,   1.592e-02, Zn-68(n.g), (n.g)
   1451.200,   9.950e-03, Zn-68(n.g), (n.g)
   3920.000,   9.950e-03, Zn-68(n.g), (n.g)
   3971.900,   5.970e-03, Zn-68(n.g), (n.g)
    173.040,   4.378e-03, Zn-68(n.g), (n.g)
