Zn-68(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
   1077.340,   1.000e+00,Zn-68(n.n'g), (n.n'g)
   1339.960,   2.047e-01,Zn-68(n.n'g), (n.n'g)
   1883.160,   2.047e-01,Zn-68(n.n'g), (n.n'g)
   1673.290,   1.299e-01,Zn-68(n.n'g), (n.n'g)
    805.830,   1.000e-01,Zn-68(n.n'g), (n.n'g)
   1261.080,   9.213e-02,Zn-68(n.n'g), (n.n'g)
   1744.420,   4.331e-02,Zn-68(n.n'g), (n.n'g)
   1126.070,   4.173e-02,Zn-68(n.n'g), (n.n'g)
    578.520,   3.543e-02,Zn-68(n.n'g), (n.n'g)
   1041.260,   3.228e-02,Zn-68(n.n'g), (n.n'g)
    864.000,   2.835e-02,Zn-68(n.n'g), (n.n'g)
   2983.500,   2.205e-02,Zn-68(n.n'g), Dopp.Brd?
   2418.700,   2.126e-02,Zn-68(n.n'g), (n.n'g)
   2209.750,   2.047e-02,Zn-68(n.n'g), (n.n'g)
   1724.000,   1.417e-02,Zn-68(n.n'g), multiplet?
   3346.000,   1.417e-02,Zn-68(n.n'g), Dopp.Brd?
   2106.830,   1.339e-02,Zn-68(n.n'g), (n.n'g)
   2732.000,   1.339e-02,Zn-68(n.n'g), (n.n'g)
    835.870,   1.260e-02,Zn-68(n.n'g), (n.n'g)
   1546.130,   1.260e-02,Zn-68(n.n'g), (n.n'g)
   2857.600,   1.260e-02,Zn-68(n.n'g), (n.n'g)
   2737.400,   1.181e-02,Zn-68(n.n'g), Dopp.Brd?
   3717.500,   1.150e-02,Zn-68(n.n'g), (n.n'g)
   1431.860,   1.102e-02,Zn-68(n.n'g), (n.n'g)
   2587.200,   1.087e-02,Zn-68(n.n'g), (n.n'g)
    412.410,   1.024e-02,Zn-68(n.n'g), (n.n'g)
   4028.300,   8.976e-03,Zn-68(n.n'g), (n.n'g)
   1478.310,   8.740e-03,Zn-68(n.n'g), (n.n'g)
   3511.000,   8.661e-03,Zn-68(n.n'g), multiplet?
   1781.500,   8.110e-03,Zn-68(n.n'g), (n.n'g)
   1371.600,   7.874e-03,Zn-68(n.n'g), (n.n'g)
   1630.900,   7.874e-03,Zn-68(n.n'g), (n.n'g)
   2648.100,   7.874e-03,Zn-68(n.n'g), Dopp.Brd?
   2852.000,   7.874e-03,Zn-68(n.n'g), (n.n'g)
   2347.500,   7.638e-03,Zn-68(n.n'g), (n.n'g)
    670.890,   7.559e-03,Zn-68(n.n'g), (n.n'g)
    879.590,   7.087e-03,Zn-68(n.n'g), (n.n'g)
   1932.100,   7.087e-03,Zn-68(n.n'g), (n.n'g)
   2322.000,   7.087e-03,Zn-68(n.n'g), (n.n'g)
   2352.400,   7.087e-03,Zn-68(n.n'g), (n.n'g)
   2546.900,   6.772e-03,Zn-68(n.n'g), (n.n'g)
   3666.000,   6.693e-03,Zn-68(n.n'g), (n.n'g)
   3137.800,   6.378e-03,Zn-68(n.n'g), (n.n'g)
   1397.000,   6.299e-03,Zn-68(n.n'g), (n.n'g)
   1517.700,   6.299e-03,Zn-68(n.n'g), (n.n'g)
   3708.200,   6.299e-03,Zn-68(n.n'g), (n.n'g)
   3777.000,   6.299e-03,Zn-68(n.n'g), (n.n'g)
   2061.500,   6.142e-03,Zn-68(n.n'g), (n.n'g)
   4608.000,   6.063e-03,Zn-68(n.n'g), (n.n'g)
   3062.400,   5.984e-03,Zn-68(n.n'g), (n.n'g)
   4466.000,   5.827e-03,Zn-68(n.n'g), Dopp.Brd?
   2508.000,   5.748e-03,Zn-68(n.n'g), (n.n'g)
   1219.300,   5.512e-03,Zn-68(n.n'g), (n.n'g)
   1437.760,   5.512e-03,Zn-68(n.n'g), (n.n'g)
   1542.000,   5.512e-03,Zn-68(n.n'g), (n.n'g)
   3157.000,   5.512e-03,Zn-68(n.n'g), (n.n'g)
   4339.000,   5.512e-03,Zn-68(n.n'g), Dopp.Brd?
   3360.000,   5.433e-03,Zn-68(n.n'g), (n.n'g)
   3567.000,   5.276e-03,Zn-68(n.n'g), (n.n'g)
   4102.000,   5.276e-03,Zn-68(n.n'g), (n.n'g)
   1387.210,   5.197e-03,Zn-68(n.n'g), (n.n'g)
   2373.500,   4.961e-03,Zn-68(n.n'g), (n.n'g)
   2270.000,   4.882e-03,Zn-68(n.n'g), Dopp.Brd?
   1114.000,   4.724e-03,Zn-68(n.n'g), multiplet?
   2310.000,   4.724e-03,Zn-68(n.n'g), (n.n'g)
   3833.100,   4.724e-03,Zn-68(n.n'g), (n.n'g)
   2821.730,   4.409e-03,Zn-68(n.n'g), (n.n'g)
   3817.000,   4.252e-03,Zn-68(n.n'g), (n.n'g)
   4414.000,   4.252e-03,Zn-68(n.n'g), (n.n'g)
   1300.870,   4.094e-03,Zn-68(n.n'g), (n.n'g)
   1557.100,   4.094e-03,Zn-68(n.n'g), (n.n'g)
   2181.700,   4.094e-03,Zn-68(n.n'g), (n.n'g)
   4680.000,   4.094e-03,Zn-68(n.n'g), (n.n'g)
   1270.100,   3.937e-03,Zn-68(n.n'g), (n.n'g)
   1276.900,   3.937e-03,Zn-68(n.n'g), (n.n'g)
   3184.300,   3.937e-03,Zn-68(n.n'g), (n.n'g)
   1462.000,   3.858e-03,Zn-68(n.n'g), Dopp.Brd?
   1596.300,   3.622e-03,Zn-68(n.n'g), (n.n'g)
   3458.100,   3.622e-03,Zn-68(n.n'g), (n.n'g)
   4444.000,   3.622e-03,Zn-68(n.n'g), (n.n'g)
   4792.000,   3.543e-03,Zn-68(n.n'g), (n.n'g)
   2082.700,   3.465e-03,Zn-68(n.n'g), (n.n'g)
    483.350,   3.150e-03,Zn-68(n.n'g), (n.n'g)
    621.060,   3.150e-03,Zn-68(n.n'g), (n.n'g)
   2027.900,   3.150e-03,Zn-68(n.n'g), (n.n'g)
   4325.000,   3.071e-03,Zn-68(n.n'g), (n.n'g)
   3664.800,   2.913e-03,Zn-68(n.n'g), (n.n'g)
   1493.500,   2.756e-03,Zn-68(n.n'g), (n.n'g)
   1698.000,   2.756e-03,Zn-68(n.n'g), (n.n'g)
   2338.400,   2.756e-03,Zn-68(n.n'g), (n.n'g)
   3152.000,   2.756e-03,Zn-68(n.n'g), (n.n'g)
   4578.000,   2.756e-03,Zn-68(n.n'g), (n.n'g)
   3592.000,   2.520e-03,Zn-68(n.n'g), (n.n'g)
    747.000,   2.441e-03,Zn-68(n.n'g), (n.n'g)
   4585.000,   2.441e-03,Zn-68(n.n'g), (n.n'g)
    975.400,   2.362e-03,Zn-68(n.n'g), (n.n'g)
   3989.000,   2.362e-03,Zn-68(n.n'g), (n.n'g)
   4496.000,   2.362e-03,Zn-68(n.n'g), (n.n'g)
   4503.000,   2.362e-03,Zn-68(n.n'g), (n.n'g)
    630.000,   2.283e-03,Zn-68(n.n'g), (n.n'g)
   3068.800,   2.283e-03,Zn-68(n.n'g), (n.n'g)
   4858.400,   2.283e-03,Zn-68(n.n'g), (n.n'g)
   4639.000,   2.205e-03,Zn-68(n.n'g), (n.n'g)
   2122.000,   2.047e-03,Zn-68(n.n'g), (n.n'g)
   2300.000,   1.969e-03,Zn-68(n.n'g), (n.n'g)
   4982.000,   1.811e-03,Zn-68(n.n'g), (n.n'g)
   4992.000,   1.811e-03,Zn-68(n.n'g), (n.n'g)
   3402.000,   1.732e-03,Zn-68(n.n'g), (n.n'g)
   3626.000,   1.732e-03,Zn-68(n.n'g), (n.n'g)
    542.050,   1.654e-03,Zn-68(n.n'g), (n.n'g)
   1612.200,   1.575e-03,Zn-68(n.n'g), (n.n'g)
   2699.500,   1.575e-03,Zn-68(n.n'g), (n.n'g)
   4670.000,   1.575e-03,Zn-68(n.n'g), (n.n'g)
   3430.200,   1.496e-03,Zn-68(n.n'g), (n.n'g)
    936.700,   1.417e-03,Zn-68(n.n'g), (n.n'g)
   1212.700,   1.417e-03,Zn-68(n.n'g), (n.n'g)
   3383.000,   1.417e-03,Zn-68(n.n'g), (n.n'g)
   4724.300,   1.417e-03,Zn-68(n.n'g), (n.n'g)
   4521.000,   1.339e-03,Zn-68(n.n'g), (n.n'g)
   3331.000,   1.181e-03,Zn-68(n.n'g), (n.n'g)
   3287.200,   1.102e-03,Zn-68(n.n'g), (n.n'g)
   3206.400,   1.024e-03,Zn-68(n.n'g), (n.n'g)
   3427.000,   9.449e-04,Zn-68(n.n'g), (n.n'g)
    815.700,          NA,Zn-68(n.n'g), (n.n'g)
   1270.000,          NA,Zn-68(n.n'g), (n.n'g)
   2990.000,          NA,Zn-68(n.n'g), (n.n'g)
   3519.400,          NA,Zn-68(n.n'g), (n.n'g)
   4069.000,          NA,Zn-68(n.n'g), (n.n'g)
