Zr-90(n.g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
    652.800,          NA, Zr-90(n.g), (n.g)
   1067.500,          NA, Zr-90(n.g), (n.g)
   1205.600,          NA, Zr-90(n.g), (n.g)
   1465.700,          NA, Zr-90(n.g), (n.g)
   1880.400,          NA, Zr-90(n.g), (n.g)
   2042.200,          NA, Zr-90(n.g), (n.g)
   2533.200,          NA, Zr-90(n.g), (n.g)
   2557.800,          NA, Zr-90(n.g), (n.g)
   2577.300,          NA, Zr-90(n.g), (n.g)
   2640.100,          NA, Zr-90(n.g), (n.g)
   3082.600,          NA, Zr-90(n.g), (n.g)
   3475.800,          NA, Zr-90(n.g), (n.g)
   3982.300,          NA, Zr-90(n.g), (n.g)
   5150.300,          NA, Zr-90(n.g), (n.g)
   5986.800,          NA, Zr-90(n.g), (n.g)
