Zr-91(n.g)

Energy(keV),  Phot/React,    Nuclide, Decay_Mode
    934.464,   8.929e-01, Zr-91(n.g), (n.g)
   1405.159,   2.150e-01, Zr-91(n.g), (n.g)
    560.958,   2.036e-01, Zr-91(n.g), (n.g)
   6295.130,   1.993e-01, Zr-91(n.g), (n.g)
    912.766,   8.357e-02, Zr-91(n.g), (n.g)
   1132.126,   7.143e-02, Zr-91(n.g), (n.g)
    844.206,   6.786e-02, Zr-91(n.g), (n.g)
   1847.220,   6.000e-02, Zr-91(n.g), (n.g)
    448.217,   4.786e-02, Zr-91(n.g), (n.g)
   5263.420,   4.571e-02, Zr-91(n.g), (n.g)
   2693.790,   4.286e-02, Zr-91(n.g), (n.g)
   1988.710,   3.500e-02, Zr-91(n.g), (n.g)
   5006.560,   3.500e-02, Zr-91(n.g), (n.g)
    902.861,   3.357e-02, Zr-91(n.g), (n.g)
   1248.100,   2.714e-02, Zr-91(n.g), (n.g)
   1956.660,   2.500e-02, Zr-91(n.g), (n.g)
    273.036,   2.071e-02, Zr-91(n.g), (n.g)
    990.540,   2.071e-02, Zr-91(n.g), (n.g)
    492.398,   1.929e-02, Zr-91(n.g), (n.g)
   4994.610,   1.929e-02, Zr-91(n.g), (n.g)
    972.332,   1.786e-02, Zr-91(n.g), (n.g)
   2105.160,   1.786e-02, Zr-91(n.g), (n.g)
   1974.910,   1.714e-02, Zr-91(n.g), (n.g)
    571.171,   1.571e-02, Zr-91(n.g), (n.g)
   3371.360,   1.429e-02, Zr-91(n.g), (n.g)
   2328.100,   1.357e-02, Zr-91(n.g), (n.g)
   2705.740,   1.357e-02, Zr-91(n.g), (n.g)
   5182.730,   1.357e-02, Zr-91(n.g), (n.g)
   1222.440,   1.286e-02, Zr-91(n.g), (n.g)
   1463.814,   1.214e-02, Zr-91(n.g), (n.g)
   3830.130,   1.214e-02, Zr-91(n.g), (n.g)
   5372.230,   1.143e-02, Zr-91(n.g), (n.g)
   2436.920,   1.071e-02, Zr-91(n.g), (n.g)
   2132.840,   1.000e-02, Zr-91(n.g), (n.g)
   2537.170,   1.000e-02, Zr-91(n.g), (n.g)
    403.898,   9.786e-03, Zr-91(n.g), (n.g)
   1209.190,   8.571e-03, Zr-91(n.g), (n.g)
   1413.960,   8.571e-03, Zr-91(n.g), (n.g)
   2517.610,   8.571e-03, Zr-91(n.g), (n.g)
    379.650,   8.071e-03, Zr-91(n.g), (n.g)
    588.640,   7.857e-03, Zr-91(n.g), (n.g)
    345.243,   7.714e-03, Zr-91(n.g), (n.g)
    296.120,   7.357e-03, Zr-91(n.g), (n.g)
    257.563,   7.143e-03, Zr-91(n.g), (n.g)
    680.670,   7.143e-03, Zr-91(n.g), (n.g)
    779.936,   7.143e-03, Zr-91(n.g), (n.g)
   1433.640,   7.143e-03, Zr-91(n.g), (n.g)
   1604.860,   7.143e-03, Zr-91(n.g), (n.g)
   1885.087,   7.143e-03, Zr-91(n.g), (n.g)
   2354.550,   7.143e-03, Zr-91(n.g), (n.g)
    333.601,   6.500e-03, Zr-91(n.g), (n.g)
    884.750,   6.429e-03, Zr-91(n.g), (n.g)
    700.020,   5.000e-03, Zr-91(n.g), (n.g)
    842.800,   5.000e-03, Zr-91(n.g), (n.g)
   1490.560,   5.000e-03, Zr-91(n.g), (n.g)
   1653.000,   4.286e-03, Zr-91(n.g), (n.g)
   2341.300,   4.286e-03, Zr-91(n.g), (n.g)
   1103.281,   3.857e-03, Zr-91(n.g), (n.g)
   2153.540,   3.643e-03, Zr-91(n.g), (n.g)
   2714.490,   3.571e-03, Zr-91(n.g), (n.g)
    790.550,   2.929e-03, Zr-91(n.g), (n.g)
    224.450,   2.857e-03, Zr-91(n.g), (n.g)
   1763.590,   2.643e-03, Zr-91(n.g), (n.g)
    351.810,   2.500e-03, Zr-91(n.g), (n.g)
    877.500,   2.143e-03, Zr-91(n.g), (n.g)
   1793.600,   2.143e-03, Zr-91(n.g), (n.g)
   2243.737,   1.929e-03, Zr-91(n.g), (n.g)
    378.100,   1.714e-03, Zr-91(n.g), (n.g)
   2447.490,   1.571e-03, Zr-91(n.g), (n.g)
   2069.400,   1.429e-03, Zr-91(n.g), (n.g)
   1163.010,   1.357e-03, Zr-91(n.g), (n.g)
   1229.990,   1.357e-03, Zr-91(n.g), (n.g)
    808.720,   1.071e-03, Zr-91(n.g), (n.g)
    366.390,   8.571e-04, Zr-91(n.g), (n.g)
   1192.410,   8.571e-04, Zr-91(n.g), (n.g)
    590.850,   7.143e-04, Zr-91(n.g), (n.g)
    219.363,   5.714e-04, Zr-91(n.g), (n.g)
    632.530,   5.714e-04, Zr-91(n.g), (n.g)
    676.933,   5.714e-04, Zr-91(n.g), (n.g)
    820.670,   5.000e-04, Zr-91(n.g), (n.g)
    600.590,   3.571e-04, Zr-91(n.g), (n.g)
