Zr-92(n.n'g)

Energy(keV), I -Relative,    Nuclide, Decay_Mode
    448.260, Most Likely,Zr-92(n.n'g), (n.n'g)
    560.920, Most Likely,Zr-92(n.n'g), (n.n'g)
    934.470, Most Likely,Zr-92(n.n'g), (n.n'g)
   1132.120, Most Likely,Zr-92(n.n'g), (n.n'g)
   1405.060, Most Likely,Zr-92(n.n'g), (n.n'g)
   1847.270, Most Likely,Zr-92(n.n'g), (n.n'g)
    219.070,          NA,Zr-92(n.n'g), (n.n'g)
    257.570,          NA,Zr-92(n.n'g), (n.n'g)
    379.600,          NA,Zr-92(n.n'g), (n.n'g)
    403.830,          NA,Zr-92(n.n'g), (n.n'g)
    465.940,          NA,Zr-92(n.n'g), (n.n'g)
    492.370,          NA,Zr-92(n.n'g), (n.n'g)
    700.100,          NA,Zr-92(n.n'g), (n.n'g)
    717.900,          NA,Zr-92(n.n'g), (n.n'g)
    779.940,          NA,Zr-92(n.n'g), (n.n'g)
    837.400,          NA,Zr-92(n.n'g), (n.n'g)
    842.690,          NA,Zr-92(n.n'g), (n.n'g)
    844.120,          NA,Zr-92(n.n'g), (n.n'g)
    877.450,          NA,Zr-92(n.n'g), (n.n'g)
    902.920,          NA,Zr-92(n.n'g), (n.n'g)
    912.720,          NA,Zr-92(n.n'g), (n.n'g)
    972.300,          NA,Zr-92(n.n'g), (n.n'g)
    990.500,          NA,Zr-92(n.n'g), (n.n'g)
    990.520,          NA,Zr-92(n.n'g), (n.n'g)
   1058.000,          NA,Zr-92(n.n'g), (n.n'g)
   1068.200,          NA,Zr-92(n.n'g), (n.n'g)
   1112.650,          NA,Zr-92(n.n'g), (n.n'g)
   1159.540,          NA,Zr-92(n.n'g), (n.n'g)
   1209.220,          NA,Zr-92(n.n'g), (n.n'g)
   1222.470,          NA,Zr-92(n.n'g), (n.n'g)
   1248.000,          NA,Zr-92(n.n'g), (n.n'g)
   1251.160,          NA,Zr-92(n.n'g), (n.n'g)
   1301.000,          NA,Zr-92(n.n'g), (n.n'g)
   1369.250,          NA,Zr-92(n.n'g), (n.n'g)
   1414.010,          NA,Zr-92(n.n'g), (n.n'g)
   1428.700,          NA,Zr-92(n.n'g), (n.n'g)
   1433.600,          NA,Zr-92(n.n'g), (n.n'g)
   1441.200,          NA,Zr-92(n.n'g), (n.n'g)
   1463.810,          NA,Zr-92(n.n'g), (n.n'g)
   1490.700,          NA,Zr-92(n.n'g), (n.n'g)
   1604.860,          NA,Zr-92(n.n'g), (n.n'g)
   1652.800,          NA,Zr-92(n.n'g), (n.n'g)
   1674.900,          NA,Zr-92(n.n'g), (n.n'g)
   1695.500,          NA,Zr-92(n.n'g), (n.n'g)
   1708.100,          NA,Zr-92(n.n'g), Dopp.Brd?
   1741.600,          NA,Zr-92(n.n'g), (n.n'g)
   1762.300,          NA,Zr-92(n.n'g), (n.n'g)
   1793.870,          NA,Zr-92(n.n'g), (n.n'g)
   1800.740,          NA,Zr-92(n.n'g), (n.n'g)
   1885.000,          NA,Zr-92(n.n'g), (n.n'g)
   1927.100,          NA,Zr-92(n.n'g), Dopp.Brd?
   1930.130,          NA,Zr-92(n.n'g), (n.n'g)
   1956.600,          NA,Zr-92(n.n'g), (n.n'g)
   1967.530,          NA,Zr-92(n.n'g), (n.n'g)
   1969.600,          NA,Zr-92(n.n'g), (n.n'g)
